candidate_id,direction,evaluation_role,fit_role,fold_id,head_variant,metric,outer_test_accessed,status,task,value
summary_vehicle_5s_linear,higher,inner_validation,inner_train,leave_one_view_out__fold01,balanced_logistic,macro_f1,False,completed,maneuver,1.0
summary_vehicle_5s_linear,higher,inner_validation,inner_train,leave_one_view_out__fold01,linear_svm,macro_f1,False,completed,maneuver,1.0
summary_vehicle_5s_linear,higher,inner_validation,inner_train,leave_one_view_out__fold01,ordinal_cumulative,macro_f1,False,completed,maneuver,0.9682539682539683
summary_vehicle_5s_linear,higher,inner_validation,inner_train,leave_one_view_out__fold01,continuous_score_then_bucket,macro_f1,False,completed,maneuver,0.48116710875331564
summary_vehicle_5s_linear,lower,inner_validation,inner_train,leave_one_view_out__fold01,ridge_alpha=0.1;target=raw,rmse,False,completed,response,0.8908239712946371
summary_vehicle_5s_linear,lower,inner_validation,inner_train,leave_one_view_out__fold01,ridge_alpha=0.1;target=log1p,rmse,False,completed,response,0.9143744445745805
summary_vehicle_5s_linear,lower,inner_validation,inner_train,leave_one_view_out__fold01,ridge_alpha=1;target=raw,rmse,False,completed,response,0.8911307576275883
summary_vehicle_5s_linear,lower,inner_validation,inner_train,leave_one_view_out__fold01,ridge_alpha=1;target=log1p,rmse,False,completed,response,0.9090818540263663
summary_vehicle_5s_linear,lower,inner_validation,inner_train,leave_one_view_out__fold01,ridge_alpha=10;target=raw,rmse,False,completed,response,0.865962135823052
summary_vehicle_5s_linear,lower,inner_validation,inner_train,leave_one_view_out__fold01,ridge_alpha=10;target=log1p,rmse,False,completed,response,0.8764632965295881
summary_vehicle_5s_linear,lower,inner_validation,inner_train,leave_one_view_out__fold01,ridge_alpha=100;target=raw,rmse,False,completed,response,0.8200899817772292
summary_vehicle_5s_linear,lower,inner_validation,inner_train,leave_one_view_out__fold01,ridge_alpha=100;target=log1p,rmse,False,completed,response,0.8246769483175534
summary_vehicle_5s_linear,lower,inner_validation,inner_train,leave_one_view_out__fold01,pls_components=2,rmse,False,completed,response,0.8594745573209466
