fold_id,requested_role,purpose,sample_count,actual_roles,allowed,outer_test_accessed,reason
leave_one_view_out__fold01,held_out,fail_closed_self_test,1,unknown,False,False,held_out_or_unknown_role_rejected
leave_one_view_out__fold01,outer_test,fail_closed_self_test,1,unknown,False,False,held_out_or_unknown_role_rejected
leave_one_view_out__fold01,inner_train,fit_upper_bound_models,31,train,True,False,inner_role_allowed
leave_one_view_out__fold01,validation,evaluate_upper_bound_models,31,validation,True,False,inner_role_allowed
leave_one_view_out__fold02,held_out,fail_closed_self_test,1,unknown,False,False,held_out_or_unknown_role_rejected
leave_one_view_out__fold02,outer_test,fail_closed_self_test,1,unknown,False,False,held_out_or_unknown_role_rejected
leave_one_view_out__fold02,inner_train,fit_upper_bound_models,31,train,True,False,inner_role_allowed
leave_one_view_out__fold02,validation,evaluate_upper_bound_models,31,validation,True,False,inner_role_allowed
leave_one_view_out__fold03,held_out,fail_closed_self_test,1,unknown,False,False,held_out_or_unknown_role_rejected
leave_one_view_out__fold03,outer_test,fail_closed_self_test,1,unknown,False,False,held_out_or_unknown_role_rejected
leave_one_view_out__fold03,inner_train,fit_upper_bound_models,36,train,True,False,inner_role_allowed
leave_one_view_out__fold03,validation,evaluate_upper_bound_models,14,validation,True,False,inner_role_allowed
