fold_id,requested_role,purpose,sample_count,actual_roles,allowed,outer_test_accessed,reason
leave_one_view_out__fold01__candidate_339,inner_train,fit_task_stability_candidate,21,train,True,False,inner_role_allowed
leave_one_view_out__fold01__candidate_339,validation,evaluate_task_stability_candidate,12,validation,True,False,inner_role_allowed
leave_one_view_out__fold01__candidate_353,inner_train,fit_task_stability_candidate,21,train,True,False,inner_role_allowed
leave_one_view_out__fold01__candidate_353,validation,evaluate_task_stability_candidate,12,validation,True,False,inner_role_allowed
leave_one_view_out__fold02__candidate_328,inner_train,fit_task_stability_candidate,15,train,True,False,inner_role_allowed
leave_one_view_out__fold02__candidate_328,validation,evaluate_task_stability_candidate,12,validation,True,False,inner_role_allowed
leave_one_view_out__fold02__candidate_329,inner_train,fit_task_stability_candidate,13,train,True,False,inner_role_allowed
leave_one_view_out__fold02__candidate_329,validation,evaluate_task_stability_candidate,12,validation,True,False,inner_role_allowed
leave_one_view_out__fold01__candidate_340,inner_train,fit_task_stability_candidate,19,train,True,False,inner_role_allowed
leave_one_view_out__fold01__candidate_340,validation,evaluate_task_stability_candidate,12,validation,True,False,inner_role_allowed
leave_one_view_out__fold01__candidate_327,inner_train,fit_task_stability_candidate,17,train,True,False,inner_role_allowed
leave_one_view_out__fold01__candidate_327,validation,evaluate_task_stability_candidate,12,validation,True,False,inner_role_allowed
