task,candidate_id,mean_macro_f1,median_macro_f1,worst_macro_f1,macro_f1_q25,macro_f1_q75,macro_f1_bootstrap_ci_low,macro_f1_bootstrap_ci_high,minimum_class_recall,mean_macro_f1_lift,median_score_spearman,mean_rmse_ratio,median_rmse_ratio,worst_rmse_ratio,rmse_ratio_q25,rmse_ratio_q75,rmse_ratio_bootstrap_ci_low,rmse_ratio_bootstrap_ci_high,mean_response_skill,positive_skill_fraction,median_spearman,mean_rmse,mean_normalized_ap,median_normalized_ap,worst_normalized_ap,normalized_ap_q25,normalized_ap_q75,normalized_ap_bootstrap_ci_low,normalized_ap_bootstrap_ci_high,positive_normalized_ap_fraction,mean_auprc_lift,mean_auprc
maneuver,vehicle_5s_global,0.7776936026936027,0.9091871091871091,0.5793650793650793,0.6924242424242424,0.9788359788359788,0.590079365079365,0.9772967772967773,0.25,0.6166641909288968,0.8601398601398602,,,,,,,,,,,,,,,,,,,,,
response,vehicle_5s_global,,,,,,,,,,,1.2284691149273903,1.2174965192090585,1.3299970864158768,1.1654321539383905,1.304710411539407,1.0754010068438022,1.3268980996101611,-0.5257242316710038,0.16666666666666666,-0.04895104895104895,1.0889303072310086,,,,,,,,,,
high_response,vehicle_5s_global,,,,,,,,,,,,,,,,,,,,,,0.028363530071119386,-0.034732915893630145,-0.2752029220779219,-0.14748705163883738,0.12794990723562155,-0.17623212353123063,0.19576066790352506,0.5,0.027731025175221607,0.5277310251752216
maneuver,vehicle_30s_global,0.7882936507936509,0.9111111111111112,0.5793650793650794,0.702579365079365,1.0,0.6001984126984128,1.0,0.4,0.6272642390289449,0.8636363636363638,,,,,,,,,,,,,,,,,,,,,
response,vehicle_30s_global,,,,,,,,,,,1.2586016248133505,1.1983678093858434,1.3975397828812437,1.1927537156749182,1.3203930069006007,1.081893885468788,1.3880616943052915,-0.6036607971374541,0.16666666666666666,-0.22027972027972031,1.1138847078460254,,,,,,,,,,
high_response,vehicle_30s_global,,,,,,,,,,,,,,,,,,,,,,-0.061677585807050156,-0.04993197278911572,-0.22633928571428572,-0.09275510204081643,-0.017517006802721204,-0.12353369472789122,-0.0119072259585653,0.16666666666666666,-0.030210555813234417,0.4697894441867656
maneuver,dual_30s_global,0.7635912698412699,0.8361111111111111,0.5555555555555555,0.702579365079365,0.9625,0.5823412698412698,0.9590277777777778,0.25,0.6025618580765639,0.8671328671328673,,,,,,,,,,,,,,,,,,,,,
response,dual_30s_global,,,,,,,,,,,1.2182618057457155,1.2005281119726665,1.3471419274286653,1.1927537156749182,1.236631865640423,1.0829740367621996,1.3219828718646616,-0.49667813156842655,0.16666666666666666,-0.18181818181818182,1.0822517581289173,,,,,,,,,,
high_response,dual_30s_global,,,,,,,,,,,,,,,,,,,,,,-0.08892683209647495,-0.0705442176870749,-0.35758928571428555,-0.23533501468769313,-0.04663265306122471,-0.25290935422464433,0.051428571428571435,0.16666666666666666,-0.030849760358688944,0.4691502396413111
maneuver,physiology_30s_global,0.1593734968734969,0.12632275132275134,0.05555555555555555,0.06397306397306397,0.23656204906204906,0.06502525252525253,0.2663299663299663,0.0,-0.0016559148912090038,-0.2447552447552448,,,,,,,,,,,,,,,,,,,,,
response,physiology_30s_global,,,,,,,,,,,1.6357764104762533,1.6355418279323095,1.8406985936603257,1.5267646808595523,1.6764886374501031,1.5187289715568941,1.7536777042507512,-1.6955792870925896,0.0,-0.28179097149714893,1.4650279176027685,,,,,,,,,,
high_response,physiology_30s_global,,,,,,,,,,,,,,,,,,,,,,0.20887049706246139,0.06870052566481144,-0.023896103896103957,0.04287743506493521,0.290235003092146,0.02221619897959184,0.39018552875695733,0.8333333333333334,0.11719204158936303,0.617192041589363
maneuver,vehicle_30s_no_adaptation,0.7882936507936509,0.9111111111111112,0.5793650793650794,0.702579365079365,1.0,0.6001984126984128,1.0,0.4,0.6272642390289449,0.8636363636363638,,,,,,,,,,,,,,,,,,,,,
response,vehicle_30s_no_adaptation,,,,,,,,,,,1.162686844843905,1.1926584186920568,1.2484834204904258,1.1415389451335052,1.201410354206668,1.080574360866415,1.2235662769071596,-0.35933136007394956,0.16666666666666666,-0.09090909090909091,1.039050153656163,,,,,,,,,,
high_response,vehicle_30s_no_adaptation,,,,,,,,,,,,,,,,,,,,,,-0.05536670918367355,-0.04993197278911572,-0.22633928571428572,-0.0830148423005567,-0.017517006802721204,-0.12130586517277374,0.005402027288187892,0.16666666666666666,-0.027701086116264727,0.4722989138837353
maneuver,vehicle_30s_window,0.777531265031265,0.8687830687830689,0.5786435786435785,0.702579365079365,0.9788359788359788,0.5996572871572871,0.9672222222222221,0.2,0.6165018532665592,0.8391608391608393,,,,,,,,,,,,,,,,,,,,,
response,vehicle_30s_window,,,,,,,,,,,1.2253037694103286,1.175147936049512,1.4306181019721664,1.1615826712664294,1.2213739057287611,1.0675391840100124,1.3819884138747511,-0.5218724649389916,0.16666666666666666,-0.04195804195804197,1.0865257559728037,,,,,,,,,,
high_response,vehicle_30s_window,,,,,,,,,,,,,,,,,,,,,,-0.1061418715213359,-0.09871386054421777,-0.22633928571428572,-0.11743361549165131,-0.08065244279530001,-0.15131806586270877,-0.07121757111935699,0.0,-0.05100601035868898,0.44899398964131104
maneuver,vehicle_30s_baseline_relative,0.7731481481481481,0.8687830687830689,0.561111111111111,0.702579365079365,0.9788359788359788,0.5865079365079364,0.9672222222222221,0.2,0.6121187363834423,0.8426573426573427,,,,,,,,,,,,,,,,,,,,,
response,vehicle_30s_baseline_relative,,,,,,,,,,,1.1613609183964144,1.1797949526933833,1.2321436663267906,1.1620115539283793,1.1964791861585349,1.0718598890703888,1.2141002276433626,-0.35594198325963694,0.16666666666666666,0.16083916083916083,1.036508846389069,,,,,,,,,,
high_response,vehicle_30s_baseline_relative,,,,,,,,,,,,,,,,,,,,,,-0.0378568046536797,-0.021898577612863533,-0.32633928571428567,-0.11702535559678424,0.07590909090909082,-0.1552813780341683,0.08881493506493501,0.5,-0.01682077471139974,0.48317922528860024
maneuver,vehicle_30s_rank,0.7833513708513709,0.9111111111111112,0.48340548340548334,0.7597222222222223,1.0,0.5472763347763347,1.0,0.2,0.622321959086665,0.8601398601398602,,,,,,,,,,,,,,,,,,,,,
response,vehicle_30s_rank,,,,,,,,,,,1.1744340861606029,1.1962944090380836,1.2295275744209566,1.1801379932293719,1.216530735013447,1.0777996827963443,1.216530735013447,-0.3867796417103509,0.16666666666666666,-0.22027972027972031,1.0478583163496507,,,,,,,,,,
high_response,vehicle_30s_rank,,,,,,,,,,,,,,,,,,,,,,0.0893924416357452,0.054557823129251545,-0.21270292207792182,-0.08066790352504655,0.1806653911564628,-0.11111172309833015,0.25187074829931966,0.5,0.05368971925891566,0.5536897192589156
maneuver,dual_30s_window,0.7672799422799423,0.8277777777777778,0.5786435786435785,0.702579365079365,0.9583333333333334,0.5996572871572871,0.9569444444444445,0.2,0.6062505305152364,0.8531468531468533,,,,,,,,,,,,,,,,,,,,,
response,dual_30s_window,,,,,,,,,,,1.2137605717213553,1.158565348844115,1.4438607194773008,1.1492021572210942,1.218883802053743,1.0213136949596235,1.391920377003602,-0.5014687683723076,0.16666666666666666,-0.1118881118881119,1.0721647696885515,,,,,,,,,,
high_response,dual_30s_window,,,,,,,,,,,,,,,,,,,,,,-0.09755556199752634,-0.10633290816326528,-0.1411120129870129,-0.12301484230055668,-0.07985476576994435,-0.12204081632653073,-0.07149820631377563,0.0,-0.049066526231704835,0.4509334737682952
maneuver,dual_30s_baseline_relative,0.7618386243386244,0.8291005291005291,0.5555555555555555,0.6827380952380953,0.9788359788359788,0.5823412698412698,0.9579265873015859,0.2,0.6008092125739184,0.8461538461538463,,,,,,,,,,,,,,,,,,,,,
response,dual_30s_baseline_relative,,,,,,,,,,,1.1633281438184029,1.1818431489072405,1.2346085874814885,1.139284970752528,1.198578614955071,1.0624576300816548,1.2248438948311666,-0.36091760029376135,0.16666666666666666,0.15734265734265737,1.0367899818704491,,,,,,,,,,
high_response,dual_30s_baseline_relative,,,,,,,,,,,,,,,,,,,,,,0.07338082676252314,0.11211502782931335,-0.18214285714285713,-0.08205936920222645,0.23826501623376634,-0.0975950834879407,0.2320220822704076,0.6666666666666666,0.03656486742424239,0.5365648674242424
maneuver,dual_30s_rank,0.7833513708513709,0.9111111111111112,0.48340548340548334,0.7597222222222223,1.0,0.5472763347763347,1.0,0.2,0.622321959086665,0.8531468531468532,,,,,,,,,,,,,,,,,,,,,
response,dual_30s_rank,,,,,,,,,,,1.0714126630313405,1.014599662390573,1.2551857117407217,0.9648787551355806,1.0795178971527992,0.942489659018632,1.2157423554970617,-0.16350706633126577,0.3333333333333333,-0.07342657342657344,0.9494297814012006,,,,,,,,,,
high_response,dual_30s_rank,,,,,,,,,,,,,,,,,,,,,,0.125841112012987,0.03483418367346955,-0.06304267161410033,-0.018083739177488924,0.20517006802721077,-0.027553663226654142,0.25877551020408157,0.6666666666666666,0.0754059891001855,0.5754059891001855
maneuver,vehicle_30s_ordinal,0.7723364598364598,0.8687830687830689,0.5833333333333334,0.7126984126984126,0.9203944203944204,0.6065476190476191,0.9468734968734969,0.4,0.611307048071754,0.8146853146853148,,,,,,,,,,,,,,,,,,,,,
response,vehicle_30s_ordinal,,,,,,,,,,,1.2586016248133505,1.1983678093858434,1.3975397828812437,1.1927537156749182,1.3203930069006007,1.081893885468788,1.3880616943052915,-0.6036607971374541,0.16666666666666666,-0.22027972027972031,1.1138847078460254,,,,,,,,,,
high_response,vehicle_30s_ordinal,,,,,,,,,,,,,,,,,,,,,,-0.061677585807050156,-0.04993197278911572,-0.22633928571428572,-0.09275510204081643,-0.017517006802721204,-0.12353369472789122,-0.0119072259585653,0.16666666666666666,-0.030210555813234417,0.4697894441867656
maneuver,vehicle_30s_score_bucket,0.6226641414141414,0.6535714285714286,0.48412698412698413,0.5582070707070707,0.7531746031746032,0.5033730158730159,0.766612554112554,0.2,0.4616347296494355,0.8566433566433567,,,,,,,,,,,,,,,,,,,,,
response,vehicle_30s_score_bucket,,,,,,,,,,,1.2586016248133505,1.1983678093858434,1.3975397828812437,1.1927537156749182,1.3203930069006007,1.081893885468788,1.3880616943052915,-0.6036607971374541,0.16666666666666666,-0.22027972027972031,1.1138847078460254,,,,,,,,,,
high_response,vehicle_30s_score_bucket,,,,,,,,,,,,,,,,,,,,,,-0.061677585807050156,-0.04993197278911572,-0.22633928571428572,-0.09275510204081643,-0.017517006802721204,-0.12353369472789122,-0.0119072259585653,0.16666666666666666,-0.030210555813234417,0.4697894441867656
maneuver,vehicle_30s_histgb,0.16102941176470587,0.15,0.13333333333333333,0.13333333333333333,0.18872549019607843,0.1375,0.18823529411764706,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
response,vehicle_30s_histgb,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9019019722146961,,,,,,,,,,
high_response,vehicle_30s_histgb,,,,,,,,,,,,,,,,,,,,,,-0.061677585807050156,-0.04993197278911572,-0.22633928571428572,-0.09275510204081643,-0.017517006802721204,-0.12353369472789122,-0.0119072259585653,0.16666666666666666,-0.030210555813234417,0.4697894441867656
maneuver,dual_30s_histgb,0.16102941176470587,0.15,0.13333333333333333,0.13333333333333333,0.18872549019607843,0.1375,0.18823529411764706,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
response,dual_30s_histgb,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9019019722146961,,,,,,,,,,
high_response,dual_30s_histgb,,,,,,,,,,,,,,,,,,,,,,-0.08892683209647495,-0.0705442176870749,-0.35758928571428555,-0.23533501468769313,-0.04663265306122471,-0.25290935422464433,0.051428571428571435,0.16666666666666666,-0.030849760358688944,0.4691502396413111
maneuver,dual_minirocket_1000,0.8286375661375661,0.9111111111111112,0.6626984126984127,0.7611111111111111,1.0,0.6822089947089947,1.0,0.5,0.6676081543728603,0.7762237762237763,,,,,,,,,,,,,,,,,,,,,
response,dual_minirocket_1000,,,,,,,,,,,1.165817029047694,1.2009539548715786,1.3454119737221233,1.1571209059126477,1.2202233616135498,1.0296645523823762,1.2487656378522947,-0.3804210316172304,0.16666666666666666,0.06993006993006995,1.0356161684952354,,,,,,,,,,
high_response,dual_minirocket_1000,,,,,,,,,,,,,,,,,,,,,,0.10843030109771176,0.05298701298701279,-0.1638392857142856,0.004304267161409905,0.22875695732838588,-0.04548314780457636,0.22875695732838588,0.8333333333333334,0.05956025497320137,0.5595602549732014
maneuver,dual_minirocket_5000,0.7731060606060607,0.9111111111111112,0.5555555555555555,0.6748737373737375,1.0,0.5731060606060605,1.0,0.25,0.6120766488413547,0.7622377622377623,,,,,,,,,,,,,,,,,,,,,
response,dual_minirocket_5000,,,,,,,,,,,1.377792528576073,1.183985118063098,2.4286655468892393,1.159333326664692,1.3743732797101325,1.140906151999895,1.7725242591412964,-1.0723418273402836,0.0,0.07342657342657342,1.2865270692813875,,,,,,,,,,
high_response,dual_minirocket_5000,,,,,,,,,,,,,,,,,,,,,,0.05733104321273964,0.007959183673469275,-0.26383928571428555,-0.0445454545454546,0.13014842300556578,-0.08680349412492265,0.20023229746444027,0.5,0.027219887007833427,0.5272198870078335
maneuver,dual_multirocket,0.7750661375661376,0.9160052910052909,0.35714285714285715,0.8246693121693123,1.0,0.47585978835978837,1.0,0.0,0.6140367258014316,0.8356643356643358,,,,,,,,,,,,,,,,,,,,,
response,dual_multirocket,,,,,,,,,,,1.1945636952351948,1.2137790947758433,1.2773928079237966,1.118529749798157,1.2663043143576944,1.0684749092507206,1.2702196919409727,-0.4385509151459721,0.16666666666666666,-0.12937062937062938,1.0626611995284119,,,,,,,,,,
high_response,dual_multirocket,,,,,,,,,,,,,,,,,,,,,,-0.13488080743661102,-0.13006899350649354,-0.2923160173160169,-0.15906047077922075,-0.09824675324675336,-0.19187973484848472,-0.07974489795918378,0.0,-0.06471508773964132,0.4352849122603587
maneuver,dual_hydra,0.7912698412698412,0.8687830687830689,0.5555555555555555,0.7611111111111111,0.9788359788359788,0.6018518518518517,0.9672222222222221,0.25,0.6302404295051354,0.8286713286713288,,,,,,,,,,,,,,,,,,,,,
response,dual_hydra,,,,,,,,,,,1.1769324642500663,1.1731097556434904,1.3023430911002782,1.0825868700622951,1.2112847551757613,1.0690204589098948,1.2738328027624575,-0.3951045158382939,0.16666666666666666,0.05944055944055945,1.0507025883405987,,,,,,,,,,
high_response,dual_hydra,,,,,,,,,,,,,,,,,,,,,,-0.14696109693877552,-0.12583198051948044,-0.26383928571428555,-0.1633766233766234,-0.08986404220779222,-0.19117071544526898,-0.1063982961792672,0.0,-0.07295812074829933,0.4270418792517007
maneuver,dual_30s_joint_risk,0.7635912698412699,0.8361111111111111,0.5555555555555555,0.702579365079365,0.9625,0.5823412698412698,0.9590277777777778,0.25,0.6025618580765639,0.8671328671328673,,,,,,,,,,,,,,,,,,,,,
response,dual_30s_joint_risk,,,,,,,,,,,1.2182618057457155,1.2005281119726665,1.3471419274286653,1.1927537156749182,1.236631865640423,1.0829740367621996,1.3219828718646616,-0.49667813156842655,0.16666666666666666,-0.18181818181818182,1.0822517581289173,,,,,,,,,,
high_response,dual_30s_joint_risk,,,,,,,,,,,,,,,,,,,,,,-0.059912550247371715,-0.09919005102040823,-0.1638392857142856,-0.10600504406307987,-0.028896103896104013,-0.12204033317872602,0.010593692022263441,0.16666666666666666,-0.02644657673675533,0.4735534232632447
maneuver,fieldwise_physiology_30s,0.1593734968734969,0.12632275132275134,0.05555555555555555,0.06397306397306397,0.23656204906204906,0.06502525252525253,0.2663299663299663,0.0,-0.0016559148912090038,-0.2447552447552448,,,,,,,,,,,,,,,,,,,,,
response,fieldwise_physiology_30s,,,,,,,,,,,1.4641443232893296,1.424713457398828,1.6391128145423717,1.4092092930188924,1.4374631548327337,1.3791136614684638,1.5832963539999554,-1.1550193472127188,0.0,-0.15734265734265734,1.3089440033989572,,,,,,,,,,
high_response,fieldwise_physiology_30s,,,,,,,,,,,,,,,,,,,,,,0.20887049706246139,0.06870052566481144,-0.023896103896103957,0.04287743506493521,0.290235003092146,0.02221619897959184,0.39018552875695733,0.8333333333333334,0.11719204158936303,0.617192041589363
