split_id,outer_pool_id,validation_support_hash,train_count,validation_count,response_count,maneuver_low_count,maneuver_medium_count,maneuver_high_count,minimum_maneuver_class_count,high_response_positive_count,high_response_negative_count,high_response_prevalence,support_overlap_count,minimum_anchor_separation_ms,minimum_support_embargo_ms,outer_test_opened,valid_main_split,target_fit_status,target_fit_error,selected_for_main_ranking
leave_one_view_out__fold01__candidate_000,leave_one_view_out__fold01,0fa12b19d3fb864b232fbed87601d7843d0667b5996b544885d5bfeedcf72164,26,10,10,8,2,0,0,5,5,0.5,0,70000,35000,False,False,completed,,False
leave_one_view_out__fold01__candidate_001,leave_one_view_out__fold01,10d6217ce39f9ee43669cb2514368a454b802315c3d4bf97a67a91cb593bfe13,24,10,10,7,1,2,1,4,6,0.4,0,70000,35000,False,False,completed,,False
leave_one_view_out__fold01__candidate_002,leave_one_view_out__fold01,22f33605614b6e4df0722fcd450388712450ba291382df433eccba4ecaf6f0b9,22,10,10,7,1,2,1,3,7,0.3,0,70000,35000,False,False,completed,,False
leave_one_view_out__fold01__candidate_003,leave_one_view_out__fold01,731569109b3cce023096140e30a4b4806115b57d14299f0ddba67b267bf7994b,20,10,10,7,2,1,1,2,8,0.2,0,70000,35000,False,False,completed,,False
leave_one_view_out__fold01__candidate_010,leave_one_view_out__fold01,511b5d08bbc07756d0aed1840a48f17f209cf5d387158b444a819711ba83b8a6,20,10,10,6,1,3,1,1,9,0.1,0,70000,35000,False,False,completed,,False
leave_one_view_out__fold01__candidate_011,leave_one_view_out__fold01,5d9b18521c45abfb270620c597ee6ff08a9432216a554df9c38ed255a873d4cb,22,10,10,4,2,4,2,1,9,0.1,0,70000,35000,False,False,completed,,False
leave_one_view_out__fold01__candidate_012,leave_one_view_out__fold01,fe9ee2a86e9b5f33f1024cec809134709f88aa4062b5db457b3135eb8e54097f,24,10,10,4,1,5,1,1,9,0.1,0,70000,35000,False,False,completed,,False
leave_one_view_out__fold01__candidate_013,leave_one_view_out__fold01,092190de95a75622181abd9435a0c0122202bf7c69c880006eb086a1331e44fa,26,10,9,5,3,2,2,1,8,0.1111111111111111,0,70000,35000,False,False,completed,,False
leave_one_view_out__fold01__candidate_014,leave_one_view_out__fold01,259cfcf7496eab405bf3cbacc963ebdd86b6f0e6e5b49a630ee1780e3c8d02dd,24,10,10,7,1,2,1,3,7,0.3,0,70000,35000,False,False,completed,,False
leave_one_view_out__fold01__candidate_015,leave_one_view_out__fold01,4567210fb929f348f3ed6d51bd406eeba59433436f8125d49f291e106c09b17c,22,10,10,0,8,2,0,3,7,0.3,0,70000,35000,False,False,completed,,False
leave_one_view_out__fold01__candidate_016,leave_one_view_out__fold01,74e588308c51323744f41446dc672b796f0cb2ff4e80019757bf6069a84a7d1d,20,10,10,3,5,2,2,2,8,0.2,0,70000,35000,False,False,completed,,False
