split_id,modality,selected_channel_count,mean_absolute_standardized_mean_difference,median_ks_statistic,median_iqr_normalized_wasserstein,selection_fit_role,outer_test_opened
leave_one_view_out__fold01__candidate_339,physiology,12,0.5139768565335824,0.45920138888888884,0.862916544900993,inner_train,False
leave_one_view_out__fold01__candidate_339,vehicle,64,0.06591121448848825,0.03277237987138468,0.07085687480710076,inner_train,False
leave_one_view_out__fold01__candidate_353,physiology,12,0.4961690766803352,0.47290426587301587,0.8274370128583977,inner_train,False
leave_one_view_out__fold01__candidate_353,vehicle,64,0.06499222529227766,0.032905975489666034,0.054328262203112605,inner_train,False
leave_one_view_out__fold02__candidate_328,physiology,12,0.5004243907792205,0.4600694444444444,0.7407697469896265,inner_train,False
leave_one_view_out__fold02__candidate_328,vehicle,64,0.13873363372361314,0.07591912255319097,0.0867545459202646,inner_train,False
leave_one_view_out__fold02__candidate_329,physiology,12,0.4085856642169407,0.4117254273504274,0.4916075105751758,inner_train,False
leave_one_view_out__fold02__candidate_329,vehicle,64,0.17782846618439954,0.09939267712042514,0.14253467601348901,inner_train,False
leave_one_view_out__fold01__candidate_340,physiology,12,0.534648315128288,0.48745888157894735,0.7182978528709194,inner_train,False
leave_one_view_out__fold01__candidate_340,vehicle,64,0.054732361833543616,0.028909809895360523,0.044785143231366675,inner_train,False
leave_one_view_out__fold01__candidate_327,physiology,12,0.5824273555300442,0.4873621323529412,0.8394716221537277,inner_train,False
leave_one_view_out__fold01__candidate_327,vehicle,64,0.11085251094904816,0.04950871504915772,0.10875118421373813,inner_train,False
