task,method,metric,mean,median,worst,positive_split_count,median_standardized_gain_over_time,completed_split_count,mean_skill,median_rmse_ratio,positive_skill_split_count,mean_normalized_ap,median_normalized_ap,positive_normalized_ap_split_count
future_maneuver_score,physiology_only,spearman,-0.6022727272727273,-0.5454545454545455,-0.7622377622377624,0,-2.73265460030166,6,,,,,,
future_maneuver_score,vehicle_only,spearman,0.5104895104895106,0.5174825174825175,0.3636363636363637,4,0.20076726342710982,6,,,,,,
future_maneuver_score,naive_time_sync,spearman,-0.34702797202797203,-0.3356643356643357,-0.7342657342657343,0,-2.497195512820513,6,,,,,,
future_maneuver_score,mult,spearman,-0.4886363636363637,-0.5314685314685315,-0.8041958041958043,0,-2.618189102564103,6,,,,,,
future_maneuver_score,contiformer,spearman,0.4746503496503497,0.5244755244755246,0.20979020979020982,3,0.03231663035584606,6,,,,,,
future_maneuver_score,chronaris,spearman,-0.5620629370629371,-0.6468531468531469,-0.965034965034965,0,-3.018476621417799,6,,,,,,
future_maneuver_trend,physiology_only,macro_f1,0.09503205128205128,0.06666666666666667,0.0,0,-0.9171262699564585,6,,,,,,
future_maneuver_trend,vehicle_only,macro_f1,0.5093781218781219,0.6216394716394718,0.17777777777777778,3,0.04414039315839627,6,,,,,,
future_maneuver_trend,naive_time_sync,macro_f1,0.24357864357864356,0.25281385281385277,0.09523809523809523,0,-0.6537784434173504,6,,,,,,
future_maneuver_trend,mult,macro_f1,0.275940814359932,0.18287037037037038,0.13333333333333333,0,-0.6910377358490565,6,,,,,,
future_maneuver_trend,contiformer,macro_f1,0.5582817645317646,0.7111693861693862,0.19047619047619047,4,0.38943094548659196,6,,,,,,
future_maneuver_trend,chronaris,macro_f1,0.3012415824915825,0.2659090909090909,0.06060606060606061,0,-0.558366192832686,6,,,,,,
physiology_residual,physiology_only,rmse,2.2028018119326984,1.9637623189400357,7.124246601588231,1,-2.8016866267618132,6,-32.151642590680595,4.645334838583575,1.0,,,
physiology_residual,vehicle_only,rmse,0.6639029044782182,0.5964284446188788,0.8633746343146095,3,-0.007633760825517997,6,-0.2744399833807254,1.184606793462769,2.0,,,
physiology_residual,naive_time_sync,rmse,1.6378869797544082,1.2836441972230026,4.08568751919035,0,-1.5075637723863242,6,-11.476326930260452,2.7635611954524775,0.0,,,
physiology_residual,mult,rmse,1.3339586804725765,1.2214797073314008,3.2778790089207024,1,-1.3799449862710815,6,-9.266243327297154,2.4761380246334417,1.0,,,
physiology_residual,contiformer,rmse,0.7090354863129579,0.7066091268171844,0.8508684131420368,3,-0.11912469780063259,6,-0.5307253677761071,1.2328934161555125,1.0,,,
physiology_residual,chronaris,rmse,1.5396713185326618,1.2422633924705129,5.090122845487881,1,-1.675884294083082,6,-15.84305376681525,2.6887495287273095,1.0,,,
high_residual_response,physiology_only,normalized_ap,0.06481481481481481,0.0,0.0,0,0.0,6,,,,0.06481481481481481,0.0,1.0
high_residual_response,vehicle_only,normalized_ap,0.06481481481481481,0.0,0.0,0,0.0,6,,,,0.06481481481481481,0.0,1.0
high_residual_response,naive_time_sync,normalized_ap,0.037037037037037035,0.0,0.0,0,0.0,6,,,,0.037037037037037035,0.0,1.0
high_residual_response,mult,normalized_ap,0.08333333333333333,0.0,0.0,1,0.0,6,,,,0.08333333333333333,0.0,1.0
high_residual_response,contiformer,normalized_ap,0.08333333333333333,0.0,0.0,1,0.0,6,,,,0.08333333333333333,0.0,1.0
high_residual_response,chronaris,normalized_ap,-0.007495590828924162,0.0,-0.059964726631393295,0,0.0,6,,,,-0.007495590828924162,0.0,0.0
