seed,fold_id,method_name,consumer_train_count,held_out_count,maneuver_vehicle_context_count,physiology_field_count,status
17,leave_one_sortie_out__fold01,physiology_only,30,60,30,12,completed
17,leave_one_sortie_out__fold01,vehicle_only,30,60,30,12,completed
17,leave_one_sortie_out__fold01,naive_time_sync,30,60,30,12,completed
17,leave_one_sortie_out__fold01,mult,30,60,30,12,completed
17,leave_one_sortie_out__fold01,contiformer,30,60,30,12,completed
17,leave_one_sortie_out__fold01,chronaris,30,60,30,12,completed
17,leave_one_sortie_out__fold02,physiology_only,60,30,30,11,completed
17,leave_one_sortie_out__fold02,vehicle_only,60,30,30,11,completed
17,leave_one_sortie_out__fold02,naive_time_sync,60,30,30,11,completed
17,leave_one_sortie_out__fold02,mult,60,30,30,11,completed
17,leave_one_sortie_out__fold02,contiformer,60,30,30,11,completed
17,leave_one_sortie_out__fold02,chronaris,60,30,30,11,completed
29,leave_one_sortie_out__fold01,physiology_only,30,60,30,12,completed
29,leave_one_sortie_out__fold01,vehicle_only,30,60,30,12,completed
29,leave_one_sortie_out__fold01,naive_time_sync,30,60,30,12,completed
29,leave_one_sortie_out__fold01,mult,30,60,30,12,completed
29,leave_one_sortie_out__fold01,contiformer,30,60,30,12,completed
29,leave_one_sortie_out__fold01,chronaris,30,60,30,12,completed
29,leave_one_sortie_out__fold02,physiology_only,60,30,30,11,completed
29,leave_one_sortie_out__fold02,vehicle_only,60,30,30,11,completed
29,leave_one_sortie_out__fold02,naive_time_sync,60,30,30,11,completed
29,leave_one_sortie_out__fold02,mult,60,30,30,11,completed
29,leave_one_sortie_out__fold02,contiformer,60,30,30,11,completed
29,leave_one_sortie_out__fold02,chronaris,60,30,30,11,completed
43,leave_one_sortie_out__fold01,physiology_only,30,60,30,12,completed
43,leave_one_sortie_out__fold01,vehicle_only,30,60,30,12,completed
43,leave_one_sortie_out__fold01,naive_time_sync,30,60,30,12,completed
43,leave_one_sortie_out__fold01,mult,30,60,30,12,completed
43,leave_one_sortie_out__fold01,contiformer,30,60,30,12,completed
43,leave_one_sortie_out__fold01,chronaris,30,60,30,12,completed
43,leave_one_sortie_out__fold02,physiology_only,60,30,30,11,completed
43,leave_one_sortie_out__fold02,vehicle_only,60,30,30,11,completed
43,leave_one_sortie_out__fold02,naive_time_sync,60,30,30,11,completed
43,leave_one_sortie_out__fold02,mult,60,30,30,11,completed
43,leave_one_sortie_out__fold02,contiformer,60,30,30,11,completed
43,leave_one_sortie_out__fold02,chronaris,60,30,30,11,completed
