method_name,task_name,metric_name,mean,std,minimum,maximum,unit_count
chronaris,future_maneuver,balanced_accuracy,0.3333333333333333,,0.3333333333333333,0.3333333333333333,1
contiformer,future_maneuver,balanced_accuracy,0.7000000000000001,,0.7000000000000001,0.7000000000000001,1
mult,future_maneuver,balanced_accuracy,0.3333333333333333,,0.3333333333333333,0.3333333333333333,1
naive_time_sync,future_maneuver,balanced_accuracy,0.3333333333333333,,0.3333333333333333,0.3333333333333333,1
physiology_only,future_maneuver,balanced_accuracy,0.16666666666666666,,0.16666666666666666,0.16666666666666666,1
vehicle_only,future_maneuver,balanced_accuracy,0.7666666666666666,,0.7666666666666666,0.7666666666666666,1
chronaris,future_maneuver,independent_vehicle_context_count,30.0,,30.0,30.0,1
contiformer,future_maneuver,independent_vehicle_context_count,30.0,,30.0,30.0,1
mult,future_maneuver,independent_vehicle_context_count,30.0,,30.0,30.0,1
naive_time_sync,future_maneuver,independent_vehicle_context_count,30.0,,30.0,30.0,1
physiology_only,future_maneuver,independent_vehicle_context_count,30.0,,30.0,30.0,1
vehicle_only,future_maneuver,independent_vehicle_context_count,30.0,,30.0,30.0,1
chronaris,future_maneuver,macro_f1,0.16666666666666666,,0.16666666666666666,0.16666666666666666,1
contiformer,future_maneuver,macro_f1,0.638888888888889,,0.638888888888889,0.638888888888889,1
mult,future_maneuver,macro_f1,0.16666666666666666,,0.16666666666666666,0.16666666666666666,1
naive_time_sync,future_maneuver,macro_f1,0.16666666666666666,,0.16666666666666666,0.16666666666666666,1
physiology_only,future_maneuver,macro_f1,0.12554112554112554,,0.12554112554112554,0.12554112554112554,1
vehicle_only,future_maneuver,macro_f1,0.763432645785587,,0.763432645785587,0.763432645785587,1
chronaris,future_maneuver,normalized_mae,20.1890422823059,,20.1890422823059,20.1890422823059,1
contiformer,future_maneuver,normalized_mae,2.2599215402263737,,2.2599215402263737,2.2599215402263737,1
mult,future_maneuver,normalized_mae,15.364662158605615,,15.364662158605615,15.364662158605615,1
naive_time_sync,future_maneuver,normalized_mae,10.72148880488265,,10.72148880488265,10.72148880488265,1
physiology_only,future_maneuver,normalized_mae,15.261582665849525,,15.261582665849525,15.261582665849525,1
vehicle_only,future_maneuver,normalized_mae,0.7320780330784389,,0.7320780330784389,0.7320780330784389,1
chronaris,future_maneuver,skill_vs_current_maneuver,-127.35218255100824,,-127.35218255100824,-127.35218255100824,1
contiformer,future_maneuver,skill_vs_current_maneuver,-0.7753142141847513,,-0.7753142141847513,-0.7753142141847513,1
mult,future_maneuver,skill_vs_current_maneuver,-73.02170152761911,,-73.02170152761911,-73.02170152761911,1
naive_time_sync,future_maneuver,skill_vs_current_maneuver,-36.50310647072048,,-36.50310647072048,-36.50310647072048,1
physiology_only,future_maneuver,skill_vs_current_maneuver,-72.34334242344165,,-72.34334242344165,-72.34334242344165,1
vehicle_only,future_maneuver,skill_vs_current_maneuver,0.6245340563256719,,0.6245340563256719,0.6245340563256719,1
chronaris,future_maneuver,spearman,0.23781979977753054,,0.23781979977753054,0.23781979977753054,1
contiformer,future_maneuver,spearman,0.6017797552836485,,0.6017797552836485,0.6017797552836485,1
mult,future_maneuver,spearman,0.24760845383759733,,0.24760845383759733,0.24760845383759733,1
naive_time_sync,future_maneuver,spearman,0.37441601779755285,,0.37441601779755285,0.37441601779755285,1
physiology_only,future_maneuver,spearman,-0.09766407119021134,,-0.09766407119021134,-0.09766407119021134,1
vehicle_only,future_maneuver,spearman,0.5626251390433815,,0.5626251390433815,0.5626251390433815,1
chronaris,future_physiology,eeg_rmse_macro,8.517311614078121,,8.517311614078121,8.517311614078121,1
contiformer,future_physiology,eeg_rmse_macro,10.00094149301286,,10.00094149301286,10.00094149301286,1
mult,future_physiology,eeg_rmse_macro,14.172651168783768,,14.172651168783768,14.172651168783768,1
naive_time_sync,future_physiology,eeg_rmse_macro,11.439063210702605,,11.439063210702605,11.439063210702605,1
physiology_only,future_physiology,eeg_rmse_macro,13.058492042597601,,13.058492042597601,13.058492042597601,1
vehicle_only,future_physiology,eeg_rmse_macro,9.788781606646527,,9.788781606646527,9.788781606646527,1
chronaris,future_physiology,field_count,12.0,,12.0,12.0,1
contiformer,future_physiology,field_count,12.0,,12.0,12.0,1
mult,future_physiology,field_count,12.0,,12.0,12.0,1
naive_time_sync,future_physiology,field_count,12.0,,12.0,12.0,1
physiology_only,future_physiology,field_count,12.0,,12.0,12.0,1
vehicle_only,future_physiology,field_count,12.0,,12.0,12.0,1
chronaris,future_physiology,positive_skill_field_ratio,0.0,,0.0,0.0,1
contiformer,future_physiology,positive_skill_field_ratio,0.0,,0.0,0.0,1
mult,future_physiology,positive_skill_field_ratio,0.0,,0.0,0.0,1
naive_time_sync,future_physiology,positive_skill_field_ratio,0.0,,0.0,0.0,1
physiology_only,future_physiology,positive_skill_field_ratio,0.0,,0.0,0.0,1
vehicle_only,future_physiology,positive_skill_field_ratio,0.0,,0.0,0.0,1
chronaris,future_physiology,skill_vs_persistence,-1772.8092331368955,,-1772.8092331368955,-1772.8092331368955,1
contiformer,future_physiology,skill_vs_persistence,-2144.2807725327957,,-2144.2807725327957,-2144.2807725327957,1
mult,future_physiology,skill_vs_persistence,-3279.5552392671093,,-3279.5552392671093,-3279.5552392671093,1
naive_time_sync,future_physiology,skill_vs_persistence,-1981.077268789869,,-1981.077268789869,-1981.077268789869,1
physiology_only,future_physiology,skill_vs_persistence,-3409.6652620757404,,-3409.6652620757404,-3409.6652620757404,1
vehicle_only,future_physiology,skill_vs_persistence,-2116.2988336598046,,-2116.2988336598046,-2116.2988336598046,1
chronaris,future_physiology,spo2_rmse_macro,5.387106289264571,,5.387106289264571,5.387106289264571,1
contiformer,future_physiology,spo2_rmse_macro,1.9326463986293883,,1.9326463986293883,1.9326463986293883,1
mult,future_physiology,spo2_rmse_macro,19.260146941499187,,19.260146941499187,19.260146941499187,1
naive_time_sync,future_physiology,spo2_rmse_macro,5.424219542522197,,5.424219542522197,5.424219542522197,1
physiology_only,future_physiology,spo2_rmse_macro,43.33625689078831,,43.33625689078831,43.33625689078831,1
vehicle_only,future_physiology,spo2_rmse_macro,3.159402808318821,,3.159402808318821,3.159402808318821,1
chronaris,future_physiology,standardized_mae_macro,7.9225898258548595,,7.9225898258548595,7.9225898258548595,1
contiformer,future_physiology,standardized_mae_macro,8.573190161977122,,8.573190161977122,8.573190161977122,1
mult,future_physiology,standardized_mae_macro,15.007212839688066,,15.007212839688066,15.007212839688066,1
naive_time_sync,future_physiology,standardized_mae_macro,10.380370925199857,,10.380370925199857,10.380370925199857,1
physiology_only,future_physiology,standardized_mae_macro,18.095692662893274,,18.095692662893274,18.095692662893274,1
vehicle_only,future_physiology,standardized_mae_macro,8.553781369408043,,8.553781369408043,8.553781369408043,1
chronaris,future_physiology,standardized_rmse_macro,7.995610726609197,,7.995610726609197,7.995610726609197,1
contiformer,future_physiology,standardized_rmse_macro,8.656225643948948,,8.656225643948948,8.656225643948948,1
mult,future_physiology,standardized_rmse_macro,15.020567130903004,,15.020567130903004,15.020567130903004,1
naive_time_sync,future_physiology,standardized_rmse_macro,10.43658926600587,,10.43658926600587,10.43658926600587,1
physiology_only,future_physiology,standardized_rmse_macro,18.10478618396272,,18.10478618396272,18.10478618396272,1
vehicle_only,future_physiology,standardized_rmse_macro,8.683885140258576,,8.683885140258576,8.683885140258576,1
chronaris,future_physiology,view_context_count,60.0,,60.0,60.0,1
contiformer,future_physiology,view_context_count,60.0,,60.0,60.0,1
mult,future_physiology,view_context_count,60.0,,60.0,60.0,1
naive_time_sync,future_physiology,view_context_count,60.0,,60.0,60.0,1
physiology_only,future_physiology,view_context_count,60.0,,60.0,60.0,1
vehicle_only,future_physiology,view_context_count,60.0,,60.0,60.0,1
