seed,fold_id,method_name,candidate_id,status,best_epoch,completed_epochs,stopped_early,best_public_selection_loss,training_elapsed_s,parameter_count,training_device,training_device_history,checkpoint_path,checkpoint_sha256,maximum_rss_mb,task_targets_opened,outer_test_accessed,transfer_initialized,transfer_source_sha256,transfer_copied_element_fraction
17,leave_one_sortie_out__fold01,physiology_only,A,resumed,50,50,False,2.2156908214092255,46.905916043004254,111168,cuda,"[""cuda""]",artifacts/application_evaluation/2026-07-16_simple-downstream-pretraining-confirmation/checkpoints/seed_17/leave_one_sortie_out__fold01/physiology_only/A/best.pt,709e7fb9e657c0d969fb0cf3d299b56e82fdf3088e13a04f96c53a3be6052d20,760.97265625,False,False,False,,
17,leave_one_sortie_out__fold01,vehicle_only,C,resumed,25,33,True,2.179202765226364,30.00315559201408,122560,cuda,"[""cuda""]",artifacts/application_evaluation/2026-07-16_simple-downstream-pretraining-confirmation/checkpoints/seed_17/leave_one_sortie_out__fold01/vehicle_only/C/best.pt,35c9b6bd6a74761de1f0b54c187d011e80845dcd00e7f6cb1370e3daf5b8d1ad,764.47265625,False,False,False,,
17,leave_one_sortie_out__fold01,mult,A,resumed,12,20,True,2.2402891665697098,21.648101853003027,1198720,cuda,"[""cuda""]",artifacts/application_evaluation/2026-07-16_simple-downstream-pretraining-confirmation/checkpoints/seed_17/leave_one_sortie_out__fold01/mult/A/best.pt,a657b893dd2a83331eb290521d246547c2c4c834cb8907d72c46ce0196be7ce3,790.47265625,False,False,False,,
17,leave_one_sortie_out__fold01,contiformer,A,resumed,25,33,True,2.2183715850114822,32.08311209900421,296448,cuda,"[""cuda""]",artifacts/application_evaluation/2026-07-16_simple-downstream-pretraining-confirmation/checkpoints/seed_17/leave_one_sortie_out__fold01/contiformer/A/best.pt,f26b12e7bf05a3511ce91452658f501edecadcb388d90cf41313bb8a77ed4747,790.47265625,False,False,False,,
17,leave_one_sortie_out__fold01,chronaris,A,resumed,11,19,True,2.2091050148010254,233.16953765501967,308116,cuda,"[""cuda""]",artifacts/application_evaluation/2026-07-16_simple-downstream-pretraining-confirmation/checkpoints/seed_17/leave_one_sortie_out__fold01/chronaris/best.pt,c6b882a06ffdf223d0184772d862f4dcef0895778077b08354e1486b589a58b4,790.47265625,False,False,False,,
29,leave_one_sortie_out__fold01,physiology_only,A,resumed,50,50,False,1.9166697412729263,48.51036955299787,111168,cuda,"[""cuda""]",artifacts/application_evaluation/2026-07-16_simple-downstream-pretraining-confirmation/checkpoints/seed_29/leave_one_sortie_out__fold01/physiology_only/A/best.pt,e66b22ca6a3a1e125f174b805485feec3e906bae0237565e08c2edb1383ad450,790.47265625,False,False,False,,
29,leave_one_sortie_out__fold01,vehicle_only,C,resumed,24,32,True,1.8552960455417633,30.92951190000167,122560,cuda,"[""cuda""]",artifacts/application_evaluation/2026-07-16_simple-downstream-pretraining-confirmation/checkpoints/seed_29/leave_one_sortie_out__fold01/vehicle_only/C/best.pt,3ee45e177cdebb4ea5b01b07862ea2339757b01cfbd941578a468b06fcdf454d,790.47265625,False,False,False,,
29,leave_one_sortie_out__fold01,mult,A,resumed,38,46,True,1.8643678426742554,52.21306633698987,1198720,cuda,"[""cuda""]",artifacts/application_evaluation/2026-07-16_simple-downstream-pretraining-confirmation/checkpoints/seed_29/leave_one_sortie_out__fold01/mult/A/best.pt,7f6d9cede372b9e68e7100cbd4834fced8a0cf73a3b8355345b61f30153fd5d6,790.47265625,False,False,False,,
29,leave_one_sortie_out__fold01,contiformer,A,resumed,48,50,False,1.8796007335186005,51.0702284820145,296448,cuda,"[""cuda""]",artifacts/application_evaluation/2026-07-16_simple-downstream-pretraining-confirmation/checkpoints/seed_29/leave_one_sortie_out__fold01/contiformer/A/best.pt,eb757dfd4ae4b5b8339e9c348676f309ba143857c49ace6c278f1548410d55e1,790.47265625,False,False,False,,
29,leave_one_sortie_out__fold01,chronaris,A,resumed,11,19,True,1.879556104540825,234.3468137269956,308116,cuda,"[""cuda""]",artifacts/application_evaluation/2026-07-16_simple-downstream-pretraining-confirmation/checkpoints/seed_29/leave_one_sortie_out__fold01/chronaris/best.pt,988cabfd579d91e69b8a0611d627aa120f8bcd5ffabb7f0665ec2aa33b71b591,790.47265625,False,False,False,,
43,leave_one_sortie_out__fold01,physiology_only,A,resumed,42,50,False,1.7642530649900436,47.935761289991206,111168,cuda,"[""cuda""]",artifacts/application_evaluation/2026-07-16_simple-downstream-pretraining-confirmation/checkpoints/seed_43/leave_one_sortie_out__fold01/physiology_only/A/best.pt,d3557c319c5c227fe93fabc242e1d3c46469d503e4b1bc08824412d47b237753,790.47265625,False,False,False,,
43,leave_one_sortie_out__fold01,vehicle_only,C,resumed,24,32,True,1.7066338881850243,31.611317493981915,122560,cuda,"[""cuda""]",artifacts/application_evaluation/2026-07-16_simple-downstream-pretraining-confirmation/checkpoints/seed_43/leave_one_sortie_out__fold01/vehicle_only/C/best.pt,e85e18af63095a3d9c2f28940f9ba24e2d769d44444b46082f3ab2e21f170284,790.47265625,False,False,False,,
43,leave_one_sortie_out__fold01,mult,A,resumed,31,39,True,1.650360245257616,44.64971016900381,1198720,cuda,"[""cuda""]",artifacts/application_evaluation/2026-07-16_simple-downstream-pretraining-confirmation/checkpoints/seed_43/leave_one_sortie_out__fold01/mult/A/best.pt,6a1dcac8663f55460a0facb1b5683510bbe00e1bba34a9febfc059523fafd64a,790.47265625,False,False,False,,
43,leave_one_sortie_out__fold01,contiformer,A,resumed,49,50,False,1.707400158047676,52.15258433998679,296448,cuda,"[""cuda""]",artifacts/application_evaluation/2026-07-16_simple-downstream-pretraining-confirmation/checkpoints/seed_43/leave_one_sortie_out__fold01/contiformer/A/best.pt,ad844d5563e2ba8d5a030377dba05bab276bc8ec5d56717a9780fed01b26c996,790.47265625,False,False,False,,
43,leave_one_sortie_out__fold01,chronaris,A,completed,10,18,True,1.6928224191069603,223.51600383597543,308116,cuda,"[""cuda""]",artifacts/application_evaluation/2026-07-16_simple-downstream-pretraining-confirmation/checkpoints/seed_43/leave_one_sortie_out__fold01/chronaris/best.pt,c0bcf3c200c9bf05912fec7bf046136959c388e51578c12dc5fe09171db3003b,2419.7890625,False,False,False,,
17,leave_one_sortie_out__fold02,physiology_only,A,completed,33,41,True,1.8408078998327255,74.25619823398301,111168,cuda,"[""cuda""]",artifacts/application_evaluation/2026-07-16_simple-downstream-pretraining-confirmation/checkpoints/seed_17/leave_one_sortie_out__fold02/physiology_only/A/best.pt,01cd34ecfe5ed6de9e53f580c05c03e6838bc257181a651ccb1168a78f9eaaf6,3594.61328125,False,False,False,,
17,leave_one_sortie_out__fold02,vehicle_only,C,completed,16,24,True,1.7832145392894745,42.06287912701373,122560,cuda,"[""cuda""]",artifacts/application_evaluation/2026-07-16_simple-downstream-pretraining-confirmation/checkpoints/seed_17/leave_one_sortie_out__fold02/vehicle_only/C/best.pt,360724f9bc4d2339b97268192e4e93f10e4c95f717713b2e00f4014377128e37,3594.61328125,False,False,False,,
17,leave_one_sortie_out__fold02,mult,A,completed,29,37,True,1.7552578374743462,73.80820046400186,1198720,cuda,"[""cuda""]",artifacts/application_evaluation/2026-07-16_simple-downstream-pretraining-confirmation/checkpoints/seed_17/leave_one_sortie_out__fold02/mult/A/best.pt,70e9f96a53f073f5eb213c9aa8d69822e344c9706af0863cbc483184bc1fbd87,3594.61328125,False,False,False,,
17,leave_one_sortie_out__fold02,contiformer,A,completed,37,45,True,1.768586665391922,80.77349862499977,296448,cuda,"[""cuda""]",artifacts/application_evaluation/2026-07-16_simple-downstream-pretraining-confirmation/checkpoints/seed_17/leave_one_sortie_out__fold02/contiformer/A/best.pt,11ee879232504f45d79657e17ed16861f81831c2cab224e285974e10516ce0a1,3594.61328125,False,False,False,,
17,leave_one_sortie_out__fold02,chronaris,A,completed,15,23,True,1.7906118854880333,435.30629812399275,308116,cuda,"[""cuda""]",artifacts/application_evaluation/2026-07-16_simple-downstream-pretraining-confirmation/checkpoints/seed_17/leave_one_sortie_out__fold02/chronaris/best.pt,c72ccd4292dfb51e50d2b3988895b754e84faa5efe3808b3b8bdb672b2bf5c0f,3594.61328125,False,False,False,,
