task,consumer,metric,ablation_method,mean,std,count
simulated_future_workload_classification,minirocket,macro_f1,chronaris_no_continuous_evolution,0.0690735970209087,0.0985348765951626,3
simulated_future_workload_classification,minirocket,macro_f1,chronaris_no_physics,-0.0192873683758149,0.0122816118257252,3
simulated_future_workload_classification,minirocket,macro_f1,chronaris_no_causal_mask,0.0060295617128569,0.0090320850895241,3
simulated_future_workload_classification,minirocket,macro_f1,chronaris_single_scale_lag,0.0056426193084883,0.0433012446088213,3
simulated_future_workload_regression,minirocket,rmse,chronaris_no_continuous_evolution,0.0277857784992131,0.0013870446999951,3
simulated_future_workload_regression,minirocket,rmse,chronaris_no_physics,0.0118344781981249,0.0129406997821642,3
simulated_future_workload_regression,minirocket,rmse,chronaris_no_causal_mask,0.0082330150981071,0.014105855072259,3
simulated_future_workload_regression,minirocket,rmse,chronaris_single_scale_lag,0.0118173035154869,0.0085222097530146,3
simulated_maneuver_state_segmentation,causal_tcn_duration,frame_macro_f1,chronaris_no_continuous_evolution,0.0142422200431407,0.010260870724149,3
simulated_maneuver_state_segmentation,causal_tcn_duration,frame_macro_f1,chronaris_no_physics,0.0043852659852447,0.0044817627895321,3
simulated_maneuver_state_segmentation,causal_tcn_duration,frame_macro_f1,chronaris_no_causal_mask,0.0662232467314287,0.0309708843382578,3
simulated_maneuver_state_segmentation,causal_tcn_duration,frame_macro_f1,chronaris_single_scale_lag,0.0623341322957389,0.0054715001561977,3
