seed,variant,method_name,status,protocol_sha256,hyperparameter_selection_role
17,no_continuous_evolution,chronaris_no_continuous_evolution,completed,d60656b5cbea4624f7378fcacaed90cd54dc5b5c1c93115307b7654e0aaf2d96,validation
17,no_physics,chronaris_no_physics,completed,952226499815aabbafe783e8d7def60997dccd7885156173532deb8f539a72c6,validation
17,no_causal_mask,chronaris_no_causal_mask,completed,de503d82dd0ca0d56b3e4774bbf9afa6736c53f072f33072ca077d594d62d6c1,validation
17,no_single_stream_bypass,chronaris_no_single_stream_bypass,completed,38e9a39eb2b895d6981988609989bcfd567dc49a1008c804015ffa806502a018,validation
29,no_continuous_evolution,chronaris_no_continuous_evolution,completed,103c4c0f6da9fdb3e60353f745e4b19c153df0d540f0387be83abd9e7dd8cb7e,validation
29,no_physics,chronaris_no_physics,completed,167afc74995b4e3e06fa500303c7fad544a067f0bbe0cec4bcf84bf1278a4275,validation
29,no_causal_mask,chronaris_no_causal_mask,completed,b0878f51701f68e7c38c9f06114c95937f961ccf6ebbbedfef421ebe9d977b55,validation
29,no_single_stream_bypass,chronaris_no_single_stream_bypass,completed,93c0ab7fd04e0f62c8b409b93970c28b9b9c57b51d04aa6a59713da49eaefd70,validation
43,no_continuous_evolution,chronaris_no_continuous_evolution,completed,dff7ba7218b2a4dda809ad2ab840d9945e3d73367ff63801d8cbfe069987d11c,validation
43,no_physics,chronaris_no_physics,completed,a77f874f52517023692f6db17b61fbd0a2207d53e2a4f7db8345607b848c510a,validation
43,no_causal_mask,chronaris_no_causal_mask,completed,eddbc41748ae29a49db253d27e22e727563aa945a8fc6cb8d67649161cabbca1,validation
43,no_single_stream_bypass,chronaris_no_single_stream_bypass,completed,c9879ea75bd09e944a5cda82a741d10cebcaa3ae26739fec2072697384a3f76f,validation
