dataset,task,consumer,method,seed,fold,role,metric,value,direction,status,reason,smoke_only
model_independent_aviation_simulation,simulated_future_workload_classification,linear,chronaris_no_continuous_evolution,17,simulation_g1_to_g2_ablation__seed_17,validation,macro_f1,0.5124406457739791,higher,available,,False
model_independent_aviation_simulation,simulated_future_workload_classification,linear,chronaris_no_continuous_evolution,17,simulation_g1_to_g2_ablation__seed_17,validation,balanced_accuracy,0.5127126868085657,higher,available,,False
model_independent_aviation_simulation,simulated_future_workload_classification,linear,chronaris_no_continuous_evolution,17,simulation_g1_to_g2_ablation__seed_17,validation,macro_auprc,0.576886924694471,higher,available,,False
model_independent_aviation_simulation,simulated_future_workload_classification,linear,chronaris_no_continuous_evolution,17,simulation_g1_to_g2_ablation__seed_17,validation,brier_score,0.6257027433638903,lower,available,,False
model_independent_aviation_simulation,simulated_future_workload_classification,linear,chronaris_no_continuous_evolution,17,simulation_g1_to_g2_ablation__seed_17,validation,ece_10_bins,0.20903490158220678,lower,available,,False
model_independent_aviation_simulation,simulated_future_workload_regression,linear,chronaris_no_continuous_evolution,17,simulation_g1_to_g2_ablation__seed_17,validation,mae,0.11752521463980277,lower,available,,False
model_independent_aviation_simulation,simulated_future_workload_regression,linear,chronaris_no_continuous_evolution,17,simulation_g1_to_g2_ablation__seed_17,validation,rmse,0.1516170685259573,lower,available,,False
model_independent_aviation_simulation,simulated_future_workload_regression,linear,chronaris_no_continuous_evolution,17,simulation_g1_to_g2_ablation__seed_17,validation,spearman,0.6428920238741183,higher,available,,False
model_independent_aviation_simulation,simulated_future_workload_classification,minirocket,chronaris_no_continuous_evolution,17,simulation_g1_to_g2_ablation__seed_17,validation,macro_f1,0.5651380700892491,higher,available,,False
model_independent_aviation_simulation,simulated_future_workload_classification,minirocket,chronaris_no_continuous_evolution,17,simulation_g1_to_g2_ablation__seed_17,validation,balanced_accuracy,0.5714347329149684,higher,available,,False
model_independent_aviation_simulation,simulated_future_workload_classification,minirocket,chronaris_no_continuous_evolution,17,simulation_g1_to_g2_ablation__seed_17,validation,macro_auprc,0.5998254324480136,higher,available,,False
model_independent_aviation_simulation,simulated_future_workload_classification,minirocket,chronaris_no_continuous_evolution,17,simulation_g1_to_g2_ablation__seed_17,validation,brier_score,0.6774478552065064,lower,available,,False
model_independent_aviation_simulation,simulated_future_workload_classification,minirocket,chronaris_no_continuous_evolution,17,simulation_g1_to_g2_ablation__seed_17,validation,ece_10_bins,0.2927160626779636,lower,available,,False
model_independent_aviation_simulation,simulated_future_workload_regression,minirocket,chronaris_no_continuous_evolution,17,simulation_g1_to_g2_ablation__seed_17,validation,mae,0.12099211694051822,lower,available,,False
model_independent_aviation_simulation,simulated_future_workload_regression,minirocket,chronaris_no_continuous_evolution,17,simulation_g1_to_g2_ablation__seed_17,validation,rmse,0.1498000215700395,lower,available,,False
