seed,method_name,status,protocol_sha256,linear_classification_c,linear_regression_alpha,minirocket_classification_c,minirocket_regression_alpha,hyperparameter_selection_role
17,physiology_only,resumed,3e8d2edb1c3ef2082fd85f286684aad83899f6b919b449836547a34e3b4169a4,10.0,100.0,0.1,100.0,validation
17,vehicle_only,resumed,2e8b3a524b32619d373857d21846f0e34401ad94db011df3b0ecf149bcf75427,10.0,10.0,0.1,100.0,validation
17,naive_time_sync,resumed,0b6c1a3cc9aaa64c558661d2d4c6aa1f0b633d6f0e55319e535ac93452ec26d6,1.0,100.0,0.1,100.0,validation
17,mult,resumed,885a772ce5b9f54da47db1c982ef2240607d5640ca796202b9e5e54289cd85a9,10.0,0.1,10.0,100.0,validation
17,contiformer,resumed,365e49ecde066f067ba9ef713ec0358faea37e16578b9bc762d5579f937246ec,0.1,1.0,0.1,100.0,validation
17,chronaris,resumed,42db93384195a32daa7e5f44f3a97f56929829847cf90006f4372a2e85b4a5ba,10.0,1.0,10.0,100.0,validation
29,physiology_only,resumed,417355ca42a22fed25ae0be8ff3fa6fc446d5664d01b944a2105cbefbc835126,10.0,100.0,0.1,100.0,validation
29,vehicle_only,resumed,dc974d7b7d1f1aa46099201b77653709acaa33db18ff9fb6c254a78fa151eaf4,10.0,1.0,1.0,100.0,validation
29,naive_time_sync,resumed,efa048378ecd92b0893b830f153c9d909a76ee5ab79104273aa90011353ffb90,1.0,100.0,1.0,100.0,validation
29,mult,resumed,0e5420dacb83fdc6fcce04564f64b959da4f76d31205bb729b25e0ae891d3024,10.0,0.1,0.1,100.0,validation
29,contiformer,resumed,91e846cf4014c2f1fe1b9b6c6ccd212acc328ba491c38d5e339196c0f43afdf1,1.0,10.0,1.0,100.0,validation
29,chronaris,resumed,4a6527fcaeebfe7fe43f31b536189b09da5aeaed8028876abd2fd73a08ae7287,10.0,0.1,0.1,10.0,validation
43,physiology_only,resumed,cdd6bdb538c3460a6b5a451bd5d2e60b9b0b65bdf90d63dd4c8bf02200889098,10.0,100.0,0.1,100.0,validation
43,vehicle_only,resumed,6c24423d3c7b6a7c3ab86dd802d9b3ba67dec3631bcd8c29b3ddaa895f5802b3,10.0,10.0,0.1,100.0,validation
43,naive_time_sync,resumed,fd2fb9b1e4df7e5376d48f94865d8d6f61826a63b2b736a2f3fe090e70e97488,1.0,100.0,0.1,100.0,validation
43,mult,resumed,fe27b6d563f131edbc7b57408a93d0db1ae0b9fc6b7442f7a8a81565b6ed684a,10.0,1.0,10.0,100.0,validation
43,contiformer,resumed,331f12e6432a5a45af82fd0c9c0014df76e6b8273f0be088059bb7326d86137a,1.0,10.0,0.1,100.0,validation
43,chronaris,resumed,aa56db3ab720ca37d17b02412c21cd7d7a8fbc0fa7236c7ca13a12fba2ef103a,1.0,1.0,1.0,100.0,validation
