dataset,task,consumer,method,seed,fold,role,metric,value,direction,status,reason,smoke_only
model_independent_aviation_simulation,simulated_future_workload_classification,linear,physiology_only,17,simulation_g1_to_g2_clean_locked__seed_17,validation,macro_f1,0.4610256981580511,higher,available,,False
model_independent_aviation_simulation,simulated_future_workload_classification,linear,physiology_only,17,simulation_g1_to_g2_clean_locked__seed_17,validation,balanced_accuracy,0.46118263569903606,higher,available,,False
model_independent_aviation_simulation,simulated_future_workload_classification,linear,physiology_only,17,simulation_g1_to_g2_clean_locked__seed_17,validation,macro_auprc,0.4713768731966641,higher,available,,False
model_independent_aviation_simulation,simulated_future_workload_classification,linear,physiology_only,17,simulation_g1_to_g2_clean_locked__seed_17,validation,brier_score,0.7015178952801183,lower,available,,False
model_independent_aviation_simulation,simulated_future_workload_classification,linear,physiology_only,17,simulation_g1_to_g2_clean_locked__seed_17,validation,ece_10_bins,0.22094366531906623,lower,available,,False
model_independent_aviation_simulation,simulated_future_workload_regression,linear,physiology_only,17,simulation_g1_to_g2_clean_locked__seed_17,validation,mae,0.17126416508108377,lower,available,,False
model_independent_aviation_simulation,simulated_future_workload_regression,linear,physiology_only,17,simulation_g1_to_g2_clean_locked__seed_17,validation,rmse,0.20339147448742784,lower,available,,False
model_independent_aviation_simulation,simulated_future_workload_regression,linear,physiology_only,17,simulation_g1_to_g2_clean_locked__seed_17,validation,spearman,0.31743081931633205,higher,available,,False
model_independent_aviation_simulation,simulated_future_workload_classification,minirocket,physiology_only,17,simulation_g1_to_g2_clean_locked__seed_17,validation,macro_f1,0.47665130568356373,higher,available,,False
model_independent_aviation_simulation,simulated_future_workload_classification,minirocket,physiology_only,17,simulation_g1_to_g2_clean_locked__seed_17,validation,balanced_accuracy,0.4807314916650493,higher,available,,False
model_independent_aviation_simulation,simulated_future_workload_classification,minirocket,physiology_only,17,simulation_g1_to_g2_clean_locked__seed_17,validation,macro_auprc,0.5128853784730187,higher,available,,False
model_independent_aviation_simulation,simulated_future_workload_classification,minirocket,physiology_only,17,simulation_g1_to_g2_clean_locked__seed_17,validation,brier_score,0.8338159108874287,lower,available,,False
model_independent_aviation_simulation,simulated_future_workload_classification,minirocket,physiology_only,17,simulation_g1_to_g2_clean_locked__seed_17,validation,ece_10_bins,0.3511031037041543,lower,available,,False
model_independent_aviation_simulation,simulated_future_workload_regression,minirocket,physiology_only,17,simulation_g1_to_g2_clean_locked__seed_17,validation,mae,0.1706532829751571,lower,available,,False
model_independent_aviation_simulation,simulated_future_workload_regression,minirocket,physiology_only,17,simulation_g1_to_g2_clean_locked__seed_17,validation,rmse,0.2152010564048871,lower,available,,False
model_independent_aviation_simulation,simulated_future_workload_regression,minirocket,physiology_only,17,simulation_g1_to_g2_clean_locked__seed_17,validation,spearman,0.337316874660879,higher,available,,False
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_raw,physiology_only,17,simulation_g1_to_g2_clean_locked__seed_17,validation,frame_macro_f1,0.3453530818510423,higher,available,,False
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_raw,physiology_only,17,simulation_g1_to_g2_clean_locked__seed_17,validation,segmental_f1_iou_0.10,0.4182947261072261,higher,available,,False
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_raw,physiology_only,17,simulation_g1_to_g2_clean_locked__seed_17,validation,segmental_f1_iou_0.25,0.3481836450586451,higher,available,,False
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_raw,physiology_only,17,simulation_g1_to_g2_clean_locked__seed_17,validation,segmental_f1_iou_0.50,0.17604950026825028,higher,available,,False
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_raw,physiology_only,17,simulation_g1_to_g2_clean_locked__seed_17,validation,boundary_f1_1s,0.19767790080290082,higher,available,,False
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_raw,physiology_only,17,simulation_g1_to_g2_clean_locked__seed_17,validation,boundary_f1_2s,0.2707676582676583,higher,available,,False
