seed,role,reference_method,comparison_method,consumer,unit_metric,difference_semantics,mean_difference,bootstrap_lower,bootstrap_upper,permutation_p_value,independent_unit_count,smoke_only
17,held_out,chronaris,contiformer,causal_tcn_duration,frame_accuracy,positive_favors_reference,0.07470703125,0.050988769531250006,0.09848225911458326,9.999000099990002e-05,48,False
17,held_out,chronaris,mult,causal_tcn_duration,frame_accuracy,positive_favors_reference,-0.04541015624999999,-0.07639431423611111,-0.01622178819444445,0.0032996700329967,48,False
17,held_out,chronaris,naive_time_sync,causal_tcn_duration,frame_accuracy,positive_favors_reference,-0.010362413194444446,-0.04611952039930558,0.022738986545138846,0.5483451654834517,48,False
17,held_out,chronaris,physiology_only,causal_tcn_duration,frame_accuracy,positive_favors_reference,0.1052517361111111,0.052787272135416674,0.16259765625,0.0013998600139986002,48,False
17,held_out,chronaris,vehicle_only,causal_tcn_duration,frame_accuracy,positive_favors_reference,0.10926649305555554,0.08365478515625001,0.13487548828124996,9.999000099990002e-05,48,False
17,held_out,chronaris,contiformer,causal_tcn_raw,frame_accuracy,positive_favors_reference,0.08338758680555554,0.05300292968749999,0.11643744574652772,9.999000099990002e-05,48,False
17,held_out,chronaris,mult,causal_tcn_raw,frame_accuracy,positive_favors_reference,-0.05419921875,-0.0842556423611111,-0.024304199218750003,0.0005999400059994001,48,False
17,held_out,chronaris,naive_time_sync,causal_tcn_raw,frame_accuracy,positive_favors_reference,-0.007649739583333339,-0.04102105034722221,0.02517496744791665,0.6371362863713629,48,False
17,held_out,chronaris,physiology_only,causal_tcn_raw,frame_accuracy,positive_favors_reference,0.10026041666666667,0.0493096245659722,0.15538465711805555,0.0014998500149985001,48,False
17,held_out,chronaris,vehicle_only,causal_tcn_raw,frame_accuracy,positive_favors_reference,0.11724175347222221,0.09109157986111112,0.1442097981770833,9.999000099990002e-05,48,False
17,held_out,chronaris,contiformer,linear,classification_correct,positive_favors_reference,0.17708333333333334,0.083203125,0.28125,0.000999900009999,48,False
