seed,method_name,candidate_id,status,best_epoch,completed_epochs,stopped_early,best_public_selection_loss,training_elapsed_s,parameter_count,checkpoint_path,checkpoint_sha256,training_device,training_device_history,chronaris_auxiliary_enabled,reserved_confirmation_loss,reserved_confirmation_sample_count,g2_locked_test_opened,task_targets_opened
17,physiology_only,A,completed,50,50,False,0.3622199557721615,75.35748506803066,110208,artifacts/application_evaluation/2026-09-03_thesis-simulation-pretraining-v3p2/checkpoints/seed_17/physiology_only/A/best.pt,cc13e1b4b49ad1b9d930f597aaad17c40b43c79efc06a186c81b7384b48a1a04,cuda,"[""cuda""]",False,0.3736932501196861,1,False,False
17,vehicle_only,C,completed,50,50,False,0.31819941848516464,74.17967440304346,31072,artifacts/application_evaluation/2026-09-03_thesis-simulation-pretraining-v3p2/checkpoints/seed_17/vehicle_only/C/best.pt,97f5ad6875fd994a72de7f7a999372bc80e45737722f4ca4165deaa6477bbe70,cuda,"[""cuda""]",False,0.392963171005249,1,False,False
17,mult,A,completed,50,50,False,0.21038230508565903,96.60570192383602,1014784,artifacts/application_evaluation/2026-09-03_thesis-simulation-pretraining-v3p2/checkpoints/seed_17/mult/A/best.pt,f9791f659754a5a1173c5e0f93b9f8e1f2c21b473d33868a31f3ddc0ae750c6c,cuda,"[""cuda""]",False,0.18405446037650108,1,False,False
17,contiformer,A,completed,50,50,False,0.33757365867495537,82.72109739296138,112512,artifacts/application_evaluation/2026-09-03_thesis-simulation-pretraining-v3p2/checkpoints/seed_17/contiformer/A/best.pt,2a6c5792396f5dd9cda0d9523eea9999a632771c7ff69e8160d86725cbf70f99,cuda,"[""cuda""]",False,0.3638082593679428,1,False,False
17,chronaris,C,completed,50,50,False,0.5626843376085162,7833.9663810930215,31127,artifacts/application_evaluation/2026-09-03_thesis-simulation-pretraining-v3p2/checkpoints/seed_17/chronaris/best.pt,19f6f72863099d14620bbcf80d2ce817d0f86b6bb88d6905876a3a15f54e8af1,cuda,"[""cuda""]",True,0.36189401894807816,1,False,False
29,physiology_only,A,completed,50,50,False,0.3596259653568268,74.80755521403626,110208,artifacts/application_evaluation/2026-09-03_thesis-simulation-pretraining-v3p2/checkpoints/seed_29/physiology_only/A/best.pt,5340835d8d7df588e96a9818e80c3910e327e09fa389902d6607aaa53219c85b,cuda,"[""cuda""]",False,0.37177880108356476,1,False,False
29,vehicle_only,C,completed,50,50,False,0.305648997426033,74.83185880398378,31072,artifacts/application_evaluation/2026-09-03_thesis-simulation-pretraining-v3p2/checkpoints/seed_29/vehicle_only/C/best.pt,b43fb827b872689c2db71923dc7bce43b5547b75cd2ac1eeffe0aa70a909e97b,cuda,"[""cuda""]",False,0.2914476916193962,1,False,False
29,mult,A,completed,50,50,False,0.1888299435377121,95.1991363489069,1014784,artifacts/application_evaluation/2026-09-03_thesis-simulation-pretraining-v3p2/checkpoints/seed_29/mult/A/best.pt,6162166506f629889badb07b5bccb463a53537b1302c96c7d1b91424c2a0404b,cuda,"[""cuda""]",False,0.16879289969801903,1,False,False
29,contiformer,A,completed,50,50,False,0.3009672351181507,82.42702114908025,112512,artifacts/application_evaluation/2026-09-03_thesis-simulation-pretraining-v3p2/checkpoints/seed_29/contiformer/A/best.pt,29da739f3af5a7d0a26fc0232440046f4ed3824748483af9a84167641b306e8b,cuda,"[""cuda""]",False,0.29078780114650726,1,False,False
29,chronaris,C,completed,50,50,False,0.5559456488117576,7639.975870369934,31127,artifacts/application_evaluation/2026-09-03_thesis-simulation-pretraining-v3p2/checkpoints/seed_29/chronaris/best.pt,96f06575fe5547c180b12437df8d6d158bb3525b045f4716c2ea5d8d94f6867f,cuda,"[""cuda""]",True,0.370888352394104,1,False,False
43,physiology_only,A,completed,50,50,False,0.3629026226699352,73.81021475396119,110208,artifacts/application_evaluation/2026-09-03_thesis-simulation-pretraining-v3p2/checkpoints/seed_43/physiology_only/A/best.pt,9774273b39b942bacf3985c959f95c412b96f5795dde13a51641e7f4bd054ef4,cuda,"[""cuda""]",False,0.37977050989866257,1,False,False
43,vehicle_only,C,completed,50,50,False,0.33302687853574753,76.00270947511308,31072,artifacts/application_evaluation/2026-09-03_thesis-simulation-pretraining-v3p2/checkpoints/seed_43/vehicle_only/C/best.pt,d4b3526bcc1c91809116314de11494354c1fc9eeecbb0bfd6ac45e3b90823259,cuda,"[""cuda""]",False,0.376393623650074,1,False,False
43,mult,A,completed,50,50,False,0.23942683264613152,92.75824077287689,1014784,artifacts/application_evaluation/2026-09-03_thesis-simulation-pretraining-v3p2/checkpoints/seed_43/mult/A/best.pt,af08c6cc31fa7a9d345301c74b3a07ac82de09bae625a984f2a16420fcd81c3c,cuda,"[""cuda""]",False,0.21720099449157715,1,False,False
43,contiformer,A,completed,50,50,False,0.32679063081741333,80.33575743506663,112512,artifacts/application_evaluation/2026-09-03_thesis-simulation-pretraining-v3p2/checkpoints/seed_43/contiformer/A/best.pt,b0734a5d8070a3e756a553ceb7449616368aca1c9d5ab16f412e4572930e728a,cuda,"[""cuda""]",False,0.38931046426296234,1,False,False
43,chronaris,C,completed,50,50,False,0.568576218560338,7279.0264949880075,31127,artifacts/application_evaluation/2026-09-03_thesis-simulation-pretraining-v3p2/checkpoints/seed_43/chronaris/best.pt,ee1ecb171cb34e145a06dd2739e9b6eabff5c35ca49157cf8fcce5e0ebe50d37,cuda,"[""cuda""]",True,0.3645564317703247,1,False,False
