seed,method_name,role,status,sample_count,checkpoint_sha256,representation_sha256,output_root
17,physiology_only,train,resumed,384,cc13e1b4b49ad1b9d930f597aaad17c40b43c79efc06a186c81b7384b48a1a04,350b2d36d536147022751fb3810105be395c6f2843ab4751a9e5bf6f87a33b12,artifacts/application_evaluation/2026-09-03_thesis-simulation-representations-v3p2p1/representations/seed_17/physiology_only/train
17,physiology_only,validation,resumed,96,cc13e1b4b49ad1b9d930f597aaad17c40b43c79efc06a186c81b7384b48a1a04,cede10c01d051d2e2b4fda0fd489a5e4ee0da3035b88a3333af952ae1627d7d4,artifacts/application_evaluation/2026-09-03_thesis-simulation-representations-v3p2p1/representations/seed_17/physiology_only/validation
17,physiology_only,held_out,resumed,192,cc13e1b4b49ad1b9d930f597aaad17c40b43c79efc06a186c81b7384b48a1a04,914f00ef0612c139d17213fa71a0b7c8e23f414f7ab882620ee791ca2b0d198b,artifacts/application_evaluation/2026-09-03_thesis-simulation-representations-v3p2p1/representations/seed_17/physiology_only/held_out
17,vehicle_only,train,resumed,384,97f5ad6875fd994a72de7f7a999372bc80e45737722f4ca4165deaa6477bbe70,2e813c70b19d646f3f3672ca03de3ce3979c1160961eb2a16e3d07fa9e970bd7,artifacts/application_evaluation/2026-09-03_thesis-simulation-representations-v3p2p1/representations/seed_17/vehicle_only/train
17,vehicle_only,validation,resumed,96,97f5ad6875fd994a72de7f7a999372bc80e45737722f4ca4165deaa6477bbe70,001c32013d1dca913f179dcc9c722a668da99ce699046fc92d7f5693368c00e9,artifacts/application_evaluation/2026-09-03_thesis-simulation-representations-v3p2p1/representations/seed_17/vehicle_only/validation
17,vehicle_only,held_out,resumed,192,97f5ad6875fd994a72de7f7a999372bc80e45737722f4ca4165deaa6477bbe70,d1a95fe5db3cf543c8a4483c7e3544de46eddffdf584a252ce69218e48826636,artifacts/application_evaluation/2026-09-03_thesis-simulation-representations-v3p2p1/representations/seed_17/vehicle_only/held_out
17,naive_time_sync,train,resumed,384,a173a9a720a49e137ef963f46d8af5db63cd72bfefad9c568210d896b467cf92,842ba766aca89d23f8336251165346a8d438227a0e2ff3fa3077fb2e878b3e7d,artifacts/application_evaluation/2026-09-03_thesis-simulation-representations-v3p2p1/representations/seed_17/naive_time_sync/train
17,naive_time_sync,validation,resumed,96,a173a9a720a49e137ef963f46d8af5db63cd72bfefad9c568210d896b467cf92,005e2b17b44971601b3eb83774621b22e6e3cf9e547692e7700c6cfd42ee5655,artifacts/application_evaluation/2026-09-03_thesis-simulation-representations-v3p2p1/representations/seed_17/naive_time_sync/validation
17,naive_time_sync,held_out,resumed,192,a173a9a720a49e137ef963f46d8af5db63cd72bfefad9c568210d896b467cf92,c6f09365a2f7e876486a3da3de4e43e45ac2eb78a1b6b3a522d76e32b9899c12,artifacts/application_evaluation/2026-09-03_thesis-simulation-representations-v3p2p1/representations/seed_17/naive_time_sync/held_out
17,mult,train,resumed,384,f9791f659754a5a1173c5e0f93b9f8e1f2c21b473d33868a31f3ddc0ae750c6c,8902f32bea03972ab4348524c928613694ef395f8f069a1ac399d383b1838a13,artifacts/application_evaluation/2026-09-03_thesis-simulation-representations-v3p2p1/representations/seed_17/mult/train
