seed,variant,component,raw_residual,count
17,full,vehicle_rigid_body_rotation,0.030338910287099997,20652
17,full,vehicle_rigid_body_translation,0.0031579941444389546,6884
17,full,vehicle_rigid_body_vertical,0.029526726069726495,6884
17,no_physics,vehicle_rigid_body_rotation,0.09247217886041653,20652
17,no_physics,vehicle_rigid_body_translation,0.07677873079424193,6884
17,no_physics,vehicle_rigid_body_vertical,0.1457224113608016,6884
29,full,vehicle_rigid_body_rotation,0.0638894337753807,20652
29,full,vehicle_rigid_body_translation,0.006802067293120978,6884
29,full,vehicle_rigid_body_vertical,0.006466594286236473,6884
29,no_physics,vehicle_rigid_body_rotation,0.18820232483690938,20652
29,no_physics,vehicle_rigid_body_translation,0.09987432317118843,6884
29,no_physics,vehicle_rigid_body_vertical,0.0868297830821469,6884
43,full,vehicle_rigid_body_rotation,0.007130734634992625,20652
43,full,vehicle_rigid_body_translation,0.009544634662854297,6884
43,full,vehicle_rigid_body_vertical,0.007178778262748851,6884
43,no_physics,vehicle_rigid_body_rotation,0.07951363221023022,20652
43,no_physics,vehicle_rigid_body_translation,0.09509132135137786,6884
43,no_physics,vehicle_rigid_body_vertical,0.04287513734027094,6884
