seed,method_name,role,scenario_id,status,sample_count,checkpoint_sha256,representation_sha256,output_root,task_oracle_opened
17,naive_time_sync,train,clean_asynchronous,completed,384,a173a9a720a49e137ef963f46d8af5db63cd72bfefad9c568210d896b467cf92,842ba766aca89d23f8336251165346a8d438227a0e2ff3fa3077fb2e878b3e7d,artifacts/application_evaluation/2026-09-04_thesis-simulation-mechanism-representations-v3p2p3/representations/seed_17/naive_time_sync/train/clean_asynchronous,False
17,mult,train,clean_asynchronous,completed,384,f9791f659754a5a1173c5e0f93b9f8e1f2c21b473d33868a31f3ddc0ae750c6c,8902f32bea03972ab4348524c928613694ef395f8f069a1ac399d383b1838a13,artifacts/application_evaluation/2026-09-04_thesis-simulation-mechanism-representations-v3p2p3/representations/seed_17/mult/train/clean_asynchronous,False
17,contiformer,train,clean_asynchronous,completed,384,2a6c5792396f5dd9cda0d9523eea9999a632771c7ff69e8160d86725cbf70f99,419e37e578203d915ad58cf9f5f98486cebcf43d08f813ca1736d426ad5cd096,artifacts/application_evaluation/2026-09-04_thesis-simulation-mechanism-representations-v3p2p3/representations/seed_17/contiformer/train/clean_asynchronous,False
17,chronaris,train,clean_asynchronous,completed,384,19f6f72863099d14620bbcf80d2ce817d0f86b6bb88d6905876a3a15f54e8af1,b28eed73ff98dfe99e5721b3afb3c29eb25c07931b1a872821ec32993fdc80ad,artifacts/application_evaluation/2026-09-04_thesis-simulation-mechanism-representations-v3p2p3/representations/seed_17/chronaris/train/clean_asynchronous,False
17,naive_time_sync,train,sampling_jitter,completed,384,a173a9a720a49e137ef963f46d8af5db63cd72bfefad9c568210d896b467cf92,c801e325e5c9dc9dfcdbb3505c961c6a597f2d7ae44f970df4243c7cbba4ea12,artifacts/application_evaluation/2026-09-04_thesis-simulation-mechanism-representations-v3p2p3/representations/seed_17/naive_time_sync/train/sampling_jitter,False
17,mult,train,sampling_jitter,completed,384,f9791f659754a5a1173c5e0f93b9f8e1f2c21b473d33868a31f3ddc0ae750c6c,123538e6d0daaa80bc65d11da7208f595e10ff3f4a17919eb4646968798d8d69,artifacts/application_evaluation/2026-09-04_thesis-simulation-mechanism-representations-v3p2p3/representations/seed_17/mult/train/sampling_jitter,False
17,contiformer,train,sampling_jitter,completed,384,2a6c5792396f5dd9cda0d9523eea9999a632771c7ff69e8160d86725cbf70f99,66c6d94392e7dfbba03d22da76d7830be00a46c4c01ee3e589f670ed58ed8b12,artifacts/application_evaluation/2026-09-04_thesis-simulation-mechanism-representations-v3p2p3/representations/seed_17/contiformer/train/sampling_jitter,False
17,chronaris,train,sampling_jitter,completed,384,19f6f72863099d14620bbcf80d2ce817d0f86b6bb88d6905876a3a15f54e8af1,6aeb692c79b9228794e247b9506528dbcbc2bfd0abba1fc50f8288a802eb68fc,artifacts/application_evaluation/2026-09-04_thesis-simulation-mechanism-representations-v3p2p3/representations/seed_17/chronaris/train/sampling_jitter,False
17,naive_time_sync,train,clock_offset_and_drift,completed,384,a173a9a720a49e137ef963f46d8af5db63cd72bfefad9c568210d896b467cf92,ad6b158f1b19569c1aaf2a2aed0aba78073374a251e5a690c22a6c0202f66aa8,artifacts/application_evaluation/2026-09-04_thesis-simulation-mechanism-representations-v3p2p3/representations/seed_17/naive_time_sync/train/clock_offset_and_drift,False
17,mult,train,clock_offset_and_drift,completed,384,f9791f659754a5a1173c5e0f93b9f8e1f2c21b473d33868a31f3ddc0ae750c6c,10d35a6d5bb4604f147b7c62e0ff778070d8349e65a2b88a32cac4230e689840,artifacts/application_evaluation/2026-09-04_thesis-simulation-mechanism-representations-v3p2p3/representations/seed_17/mult/train/clock_offset_and_drift,False
17,contiformer,train,clock_offset_and_drift,completed,384,2a6c5792396f5dd9cda0d9523eea9999a632771c7ff69e8160d86725cbf70f99,90fec84b6284776d1cf31552ecc4e58f8e300a20ab2b0b82cf32e4fda9628409,artifacts/application_evaluation/2026-09-04_thesis-simulation-mechanism-representations-v3p2p3/representations/seed_17/contiformer/train/clock_offset_and_drift,False
17,chronaris,train,clock_offset_and_drift,completed,384,19f6f72863099d14620bbcf80d2ce817d0f86b6bb88d6905876a3a15f54e8af1,05a4f3ba54344a0e73a3dd8c896ba73e0f5466c608a553dbd740d512ef03c769,artifacts/application_evaluation/2026-09-04_thesis-simulation-mechanism-representations-v3p2p3/representations/seed_17/chronaris/train/clock_offset_and_drift,False
17,naive_time_sync,train,random_missing,completed,384,a173a9a720a49e137ef963f46d8af5db63cd72bfefad9c568210d896b467cf92,49efce8a7fd905614dbbe2f05fff6823f3c68dd87d0cca4b4b1f004f326229d8,artifacts/application_evaluation/2026-09-04_thesis-simulation-mechanism-representations-v3p2p3/representations/seed_17/naive_time_sync/train/random_missing,False
17,mult,train,random_missing,completed,384,f9791f659754a5a1173c5e0f93b9f8e1f2c21b473d33868a31f3ddc0ae750c6c,ffc5e4446faea5d6ca0860a0de95fb4a48ab66e3cf887c41edb4262af8b11242,artifacts/application_evaluation/2026-09-04_thesis-simulation-mechanism-representations-v3p2p3/representations/seed_17/mult/train/random_missing,False
17,contiformer,train,random_missing,completed,384,2a6c5792396f5dd9cda0d9523eea9999a632771c7ff69e8160d86725cbf70f99,744aaadf57c8c7f8e6a8200b813c55fc59b9e39ffecaad1251c721d0e057224a,artifacts/application_evaluation/2026-09-04_thesis-simulation-mechanism-representations-v3p2p3/representations/seed_17/contiformer/train/random_missing,False
17,chronaris,train,random_missing,completed,384,19f6f72863099d14620bbcf80d2ce817d0f86b6bb88d6905876a3a15f54e8af1,73979df71e7fdcc933d356c6499de83b217a2583b49a375c94d7dfee390a8613,artifacts/application_evaluation/2026-09-04_thesis-simulation-mechanism-representations-v3p2p3/representations/seed_17/chronaris/train/random_missing,False
17,naive_time_sync,train,block_missing_and_long_lag,completed,384,a173a9a720a49e137ef963f46d8af5db63cd72bfefad9c568210d896b467cf92,c69680e501cd23fa24ca992ea1ce7b6e0a82d164a8897e9b77b27f464905b71a,artifacts/application_evaluation/2026-09-04_thesis-simulation-mechanism-representations-v3p2p3/representations/seed_17/naive_time_sync/train/block_missing_and_long_lag,False
