seed,role,scenario_id,method_count,context_count,alignment_sha256,task_oracle_opened
17,train,clean_asynchronous,4,384,93b8e287ee48ec8ce2051478eccfbe4c3c49d245723fe3a9d7c0cc5003dc02eb,False
17,train,sampling_jitter,4,384,bd28c55260a6de0ba4d4a7986b8f9e86cd77ec5f28b3beaa2deccdafb6f9ff3c,False
17,train,clock_offset_and_drift,4,384,e1ad371c98c47fa0781f14d85b0f176b7cb25f987d570f59c541c7984cf57f74,False
17,train,random_missing,4,384,72e6689edccce3e9b3c0eb1428bb3a2b5c98dc51b61e5331478e255c6bd200f3,False
17,train,block_missing_and_long_lag,4,384,7d5fafb4db1b2b06f33c1d193fd2afaa910daaa8ac1a9ad28fb93238c7f9ef39,False
17,train,mixed_severe,4,384,b50ec5d02a16bfbcc981d556c00d221abef62a586a24b48cc6f762d68af1f8b8,False
17,validation,clean_asynchronous,4,96,5e3934af53a8806e54c9ad802ed6f209a4fcb79564bf8c819ae2e414c2a4e6ab,False
17,validation,sampling_jitter,4,96,50bbf67a61dcbc3194bec8f7b7c83c108cfc0925c90eb4f87219575c9d5f8b03,False
17,validation,clock_offset_and_drift,4,96,cdd07d6c3e4a82005ce4484f3685056c75aec112912ed939dc947240e0a08482,False
17,validation,random_missing,4,96,811d1c608e36085c5de77daf077d0f97dc250dba4b6fd9d6020ba4202c2fa3a0,False
17,validation,block_missing_and_long_lag,4,96,92d2dd0b2503f7ce747d515d57c07c9c763419fa54d7538963a2f4534507c5ef,False
17,validation,mixed_severe,4,96,dd5f585cbbf0722b90249eb426f0296fb0032ab63a61052136246325f038b26b,False
29,train,clean_asynchronous,4,384,93b8e287ee48ec8ce2051478eccfbe4c3c49d245723fe3a9d7c0cc5003dc02eb,False
29,train,sampling_jitter,4,384,bd28c55260a6de0ba4d4a7986b8f9e86cd77ec5f28b3beaa2deccdafb6f9ff3c,False
29,train,clock_offset_and_drift,4,384,e1ad371c98c47fa0781f14d85b0f176b7cb25f987d570f59c541c7984cf57f74,False
29,train,random_missing,4,384,72e6689edccce3e9b3c0eb1428bb3a2b5c98dc51b61e5331478e255c6bd200f3,False
29,train,block_missing_and_long_lag,4,384,7d5fafb4db1b2b06f33c1d193fd2afaa910daaa8ac1a9ad28fb93238c7f9ef39,False
29,train,mixed_severe,4,384,b50ec5d02a16bfbcc981d556c00d221abef62a586a24b48cc6f762d68af1f8b8,False
29,validation,clean_asynchronous,4,96,5e3934af53a8806e54c9ad802ed6f209a4fcb79564bf8c819ae2e414c2a4e6ab,False
29,validation,sampling_jitter,4,96,50bbf67a61dcbc3194bec8f7b7c83c108cfc0925c90eb4f87219575c9d5f8b03,False
29,validation,clock_offset_and_drift,4,96,cdd07d6c3e4a82005ce4484f3685056c75aec112912ed939dc947240e0a08482,False
29,validation,random_missing,4,96,811d1c608e36085c5de77daf077d0f97dc250dba4b6fd9d6020ba4202c2fa3a0,False
29,validation,block_missing_and_long_lag,4,96,92d2dd0b2503f7ce747d515d57c07c9c763419fa54d7538963a2f4534507c5ef,False
29,validation,mixed_severe,4,96,dd5f585cbbf0722b90249eb426f0296fb0032ab63a61052136246325f038b26b,False
43,train,clean_asynchronous,4,384,93b8e287ee48ec8ce2051478eccfbe4c3c49d245723fe3a9d7c0cc5003dc02eb,False
43,train,sampling_jitter,4,384,bd28c55260a6de0ba4d4a7986b8f9e86cd77ec5f28b3beaa2deccdafb6f9ff3c,False
43,train,clock_offset_and_drift,4,384,e1ad371c98c47fa0781f14d85b0f176b7cb25f987d570f59c541c7984cf57f74,False
43,train,random_missing,4,384,72e6689edccce3e9b3c0eb1428bb3a2b5c98dc51b61e5331478e255c6bd200f3,False
43,train,block_missing_and_long_lag,4,384,7d5fafb4db1b2b06f33c1d193fd2afaa910daaa8ac1a9ad28fb93238c7f9ef39,False
43,train,mixed_severe,4,384,b50ec5d02a16bfbcc981d556c00d221abef62a586a24b48cc6f762d68af1f8b8,False
43,validation,clean_asynchronous,4,96,5e3934af53a8806e54c9ad802ed6f209a4fcb79564bf8c819ae2e414c2a4e6ab,False
43,validation,sampling_jitter,4,96,50bbf67a61dcbc3194bec8f7b7c83c108cfc0925c90eb4f87219575c9d5f8b03,False
43,validation,clock_offset_and_drift,4,96,cdd07d6c3e4a82005ce4484f3685056c75aec112912ed939dc947240e0a08482,False
43,validation,random_missing,4,96,811d1c608e36085c5de77daf077d0f97dc250dba4b6fd9d6020ba4202c2fa3a0,False
43,validation,block_missing_and_long_lag,4,96,92d2dd0b2503f7ce747d515d57c07c9c763419fa54d7538963a2f4534507c5ef,False
43,validation,mixed_severe,4,96,dd5f585cbbf0722b90249eb426f0296fb0032ab63a61052136246325f038b26b,False
