seed,scenario_id,method_name,metric_count,consumer_refit,source_model_protocol_sha256,prediction_sha256
17,timestamp_jitter_000ms,physiology_only,32,False,3e8d2edb1c3ef2082fd85f286684aad83899f6b919b449836547a34e3b4169a4,4531b29834c5b080367e9d28545575879faa2a2f2ff26aae15e2ccba79139b3f
17,timestamp_jitter_000ms,vehicle_only,32,False,2e8b3a524b32619d373857d21846f0e34401ad94db011df3b0ecf149bcf75427,23e20a3c630f52cc413d729f857b01e9335e2e56938f29f0ff3ce2566527c4c2
17,timestamp_jitter_000ms,naive_time_sync,32,False,0b6c1a3cc9aaa64c558661d2d4c6aa1f0b633d6f0e55319e535ac93452ec26d6,b2736019692294a0a85967c01f6ac8ffe2a595fbf810540f7660f48670b750a0
17,timestamp_jitter_000ms,mult,32,False,885a772ce5b9f54da47db1c982ef2240607d5640ca796202b9e5e54289cd85a9,ce568152dee6d59e8d2ee50f899c335be83b716dc9a1fcd1e8d2b28923eabfa4
17,timestamp_jitter_000ms,contiformer,32,False,365e49ecde066f067ba9ef713ec0358faea37e16578b9bc762d5579f937246ec,90312e699297f377c6b789dc3e5f773c1d042627c1ac7b4f7475a684f38fb886
17,timestamp_jitter_000ms,chronaris,32,False,42db93384195a32daa7e5f44f3a97f56929829847cf90006f4372a2e85b4a5ba,a88d34b265a09ef097d7cbc428fea2bb261c2d569dc73440b50d06a943c2da3f
29,timestamp_jitter_000ms,physiology_only,32,False,417355ca42a22fed25ae0be8ff3fa6fc446d5664d01b944a2105cbefbc835126,c1033d9bfb4a0eaa08ada6ee0fae4af933686c1dcd5a2dd557172311b1602560
29,timestamp_jitter_000ms,vehicle_only,32,False,dc974d7b7d1f1aa46099201b77653709acaa33db18ff9fb6c254a78fa151eaf4,f4e34306a20bb22891101da47cc2670b676985e13ec9424c312cac7e08437023
29,timestamp_jitter_000ms,naive_time_sync,32,False,efa048378ecd92b0893b830f153c9d909a76ee5ab79104273aa90011353ffb90,e873aa4c928a583ecf171d1aa437068fbc39c590d9da7a4bf3d46bc2be19f377
29,timestamp_jitter_000ms,mult,32,False,0e5420dacb83fdc6fcce04564f64b959da4f76d31205bb729b25e0ae891d3024,1641067716c3989651c709d672a4eb72663d98c0b610ccb2cb00ba5650b86531
29,timestamp_jitter_000ms,contiformer,32,False,91e846cf4014c2f1fe1b9b6c6ccd212acc328ba491c38d5e339196c0f43afdf1,bc31d843547cd2331826c74c151bf64b5a893044dc6d0f1e0f05b13f28f8c15d
29,timestamp_jitter_000ms,chronaris,32,False,4a6527fcaeebfe7fe43f31b536189b09da5aeaed8028876abd2fd73a08ae7287,304c9bf702521dcdd242541ec51325dfafa3c0d63bea6c9cd3a37beaf9e64308
43,timestamp_jitter_000ms,physiology_only,32,False,cdd6bdb538c3460a6b5a451bd5d2e60b9b0b65bdf90d63dd4c8bf02200889098,4e4b3bd7da98152a08f904b1dbe5d49d344548398947aa0062ea5620e2150b27
43,timestamp_jitter_000ms,vehicle_only,32,False,6c24423d3c7b6a7c3ab86dd802d9b3ba67dec3631bcd8c29b3ddaa895f5802b3,6dd4d3e47891540ad1dc5861a7e50ebf51a87c9e8eb096f664ec09dd0ee7732a
