dataset,task,consumer,seed,fold,role,metric,fusion_method,best_single_value,fusion_value,fusion_gain,direction_normalized,status
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+000ppm,held_out,balanced_accuracy,naive_time_sync,0.46277883030079553,0.35865110345382956,-0.10412772684696597,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+000ppm,held_out,balanced_accuracy,mult,0.46277883030079553,0.4316163786709389,-0.031162451629856647,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+000ppm,held_out,balanced_accuracy,contiformer,0.46277883030079553,0.3958786306746178,-0.06690019962617771,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+000ppm,held_out,balanced_accuracy,chronaris,0.46277883030079553,0.44368295463696433,-0.019095875663831197,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+000ppm,held_out,brier_score,naive_time_sync,0.642278328527733,0.7441013811628245,-0.1018230526350915,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+000ppm,held_out,brier_score,mult,0.642278328527733,0.5812276908081887,0.06105063771954433,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+000ppm,held_out,brier_score,contiformer,0.642278328527733,0.8304218951224153,-0.18814356659468223,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+000ppm,held_out,brier_score,chronaris,0.642278328527733,0.6192352821711988,0.023043046356534203,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+000ppm,held_out,ece_10_bins,naive_time_sync,0.16292556906884484,0.26034592926107014,-0.0974203601922253,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+000ppm,held_out,ece_10_bins,mult,0.16292556906884484,0.18179057967379667,-0.018865010604951826,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+000ppm,held_out,ece_10_bins,contiformer,0.16292556906884484,0.2929704111560051,-0.13004484208716025,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+000ppm,held_out,ece_10_bins,chronaris,0.16292556906884484,0.23609097767368034,-0.0731654086048355,higher_is_better,available
