seed,method,task,consumer,metric,stress_factor,source_direction,direction_normalized,level_count,minimum_level,maximum_level,baseline_score,maximum_stress_score,maximum_stress_change,degradation_slope
17,chronaris,simulated_future_workload_classification,linear,balanced_accuracy,absolute_clock_drift_ppm,higher,higher_is_better,4,0.0,250.0,0.44368295463696433,0.4173151338682128,-0.02636782076875155,-0.023018390796246114
17,chronaris,simulated_future_workload_classification,linear,balanced_accuracy,absolute_clock_offset_s,higher,higher_is_better,4,0.0,3.0,0.44368295463696433,0.44209463382794845,-0.0015883208090158862,-0.000549146596746984
17,chronaris,simulated_future_workload_classification,linear,balanced_accuracy,additional_physiology_lag_s,higher,higher_is_better,4,2.0,30.0,0.4357551252219835,0.45690871870509997,0.021153593483116462,0.018694340984721138
17,chronaris,simulated_future_workload_classification,linear,balanced_accuracy,contiguous_gap_s,higher,higher_is_better,4,0.0,30.0,0.44368295463696433,0.3895931610021149,-0.05408979363484945,-0.04732296875671682
17,chronaris,simulated_future_workload_classification,linear,balanced_accuracy,random_missing_rate,higher,higher_is_better,4,0.0,0.5,0.44368295463696433,0.31559796728843226,-0.12808498734853208,-0.1442370790916634
17,chronaris,simulated_future_workload_classification,linear,balanced_accuracy,snr_degradation_db,higher,higher_is_better,4,0.0,25.0,0.44368295463696433,0.4670955874561861,0.02341263281922179,0.014322562255042443
17,chronaris,simulated_future_workload_classification,linear,balanced_accuracy,timestamp_jitter_ms,higher,higher_is_better,4,0.0,100.0,0.44368295463696433,0.45968695563721446,0.016004001000250123,0.021509334624778803
17,chronaris,simulated_future_workload_classification,linear,brier_score,absolute_clock_drift_ppm,lower,higher_is_better,4,0.0,250.0,-0.6192352821711988,-0.610922363868657,0.008312918302541883,0.007204412131855763
17,chronaris,simulated_future_workload_classification,linear,brier_score,absolute_clock_offset_s,lower,higher_is_better,4,0.0,3.0,-0.6192352821711988,-0.6183949334987653,0.000840348672433544,-0.0015026217410188563
17,chronaris,simulated_future_workload_classification,linear,brier_score,additional_physiology_lag_s,lower,higher_is_better,4,2.0,30.0,-0.6269027671751306,-0.6203878414888379,0.00651492568629275,0.010208842460747259
17,chronaris,simulated_future_workload_classification,linear,brier_score,contiguous_gap_s,lower,higher_is_better,4,0.0,30.0,-0.6192352821711988,-0.9406291140728275,-0.3213938319016286,-0.2906401693662893
17,chronaris,simulated_future_workload_classification,linear,brier_score,random_missing_rate,lower,higher_is_better,4,0.0,0.5,-0.6192352821711988,-1.3590085376175383,-0.7397732554463394,-0.7733522973314656
17,chronaris,simulated_future_workload_classification,linear,brier_score,snr_degradation_db,lower,higher_is_better,4,0.0,25.0,-0.6192352821711988,-0.6787411619324075,-0.05950587976120869,-0.05538979225336057
17,chronaris,simulated_future_workload_classification,linear,brier_score,timestamp_jitter_ms,lower,higher_is_better,4,0.0,100.0,-0.6192352821711988,-0.5863002423259834,0.0329350398452154,0.03208396092463083
17,chronaris,simulated_future_workload_classification,linear,ece_10_bins,absolute_clock_drift_ppm,lower,higher_is_better,4,0.0,250.0,-0.23609097767368034,-0.24431458174172616,-0.008223604068045814,-0.0075992865936798295
17,chronaris,simulated_future_workload_classification,linear,ece_10_bins,absolute_clock_offset_s,lower,higher_is_better,4,0.0,3.0,-0.23609097767368034,-0.23485002295141846,0.0012409547222618778,0.000941652646739613
17,chronaris,simulated_future_workload_classification,linear,ece_10_bins,additional_physiology_lag_s,lower,higher_is_better,4,2.0,30.0,-0.23712191995242396,-0.24300085753846087,-0.005878937586036914,0.004861869475603325
17,chronaris,simulated_future_workload_classification,linear,ece_10_bins,contiguous_gap_s,lower,higher_is_better,4,0.0,30.0,-0.23609097767368034,-0.42776149947371933,-0.191670521800039,-0.16856476712931587
17,chronaris,simulated_future_workload_classification,linear,ece_10_bins,random_missing_rate,lower,higher_is_better,4,0.0,0.5,-0.23609097767368034,-0.6607976099129804,-0.42470663223930005,-0.44986153184734395
17,chronaris,simulated_future_workload_classification,linear,ece_10_bins,snr_degradation_db,lower,higher_is_better,4,0.0,25.0,-0.23609097767368034,-0.2478971602691526,-0.011806182595472253,-0.02109354067729012
