seed,scenario_id,method_count,context_count,alignment_sha256,task_oracle_opened
17,timestamp_jitter_000ms,6,192,e0822ab6498db592792875c477a77f8c0a6c0a5f220a6cfd4d8caf3b324b7fc3,False
17,timestamp_jitter_020ms,6,192,153bccbcaf6e80995b73c1d7f35be445c1f1e34dc1f3ad52996d8eef321dfd27,False
17,timestamp_jitter_050ms,6,192,dd12d8482bb229c5944199ab628ede21731214624c627cd3e494a0d0816e4fd9,False
17,timestamp_jitter_100ms,6,192,6dcbe6426c29b2e633c409e6a0d29cf62e533d9c4aadb60a7933c609d7d2429b,False
17,clock_offset_+0.00s,6,192,cfbbd742c0144a3d4f01b21ce107dc7719b68f5b1a7c477c7b777600ea7f47f4,False
17,clock_offset_-0.25s,6,192,fb26548070a6459bd270db88e22c8ef6839d67a15f8faeff16299026847fb2da,False
17,clock_offset_+0.25s,6,192,0d7264421b7db06731ee83a352e4a421417cd7e2bd271dbdadc44c63f509f508,False
17,clock_offset_-1.00s,6,192,0e9dd6236fc91dbbab3fc8317222d5c7d3294e408dcdeedc7a6a0dc9e6ee0b7d,False
17,clock_offset_+1.00s,6,192,01821f14f00ec3a18b46c3ecd218dd52ce30c1f7f39083381315e458ba2d05fc,False
17,clock_offset_-3.00s,6,192,b4f1ae30f6c7620cc17f167278254165186cfbfed0038b53e000b13b41f0fbe8,False
17,clock_offset_+3.00s,6,192,7b003c96988e8574647856a2cec37bfbddf8ae567215e6d882b9523d7e42997d,False
17,clock_drift_+000ppm,6,192,2f0feaa6ea2d0109bd27282ef7c20e9c7ccc092a8d45e6f55ae5d869a2051d35,False
17,clock_drift_-050ppm,6,192,bc2871224c2549e9b335fb0e990082d1dd4a920f17bc21dce082ebc040a057a7,False
17,clock_drift_+050ppm,6,192,d9bb05cb377a14f5640ae54e3fbcbce32bbe0a1afb59426284edc1d9b05bcf3f,False
17,clock_drift_-100ppm,6,192,41a32abf2fdc3dbf1670cc453e081463b981f1b6ec6d90bdf83e1d06df022de0,False
17,clock_drift_+100ppm,6,192,84624c124203a2d14da92ffee03ede4715e152e014569c7b439f10fd0387c1a2,False
17,clock_drift_-250ppm,6,192,91e29cf1192a810164221cc587032a01776057d18f59f5cb2f03a0a6604c4f2b,False
17,clock_drift_+250ppm,6,192,ea1696677612815646992d82fae2c78f2f17e61ede79c7d73ef338aa9baa2408,False
17,random_missing_00pct,6,192,1201c9d3eac49359fa5c1b05b9512f351e760db1f8c34265706ec7a54f8be824,False
17,random_missing_10pct,6,192,0921ca146c1fc4b1e6ba2539c437f6b18638dd11a6f2346a69e9688131c8ab0a,False
17,random_missing_30pct,6,192,0d39c529af83e704f76d3475938178c03d4d1d41bb57f4997728b639d8acbd2e,False
17,random_missing_50pct,6,192,81aa6bce1bc7bcb799c05e99edcae4eba5fe5a1b28ecb78d0c6c9ad8453ed884,False
17,contiguous_gap_00s,6,192,8d6d63b2fa591a00d548b6c4aee2596040eb72980b085943653845a6de2ba86a,False
17,contiguous_gap_05s,6,192,a1540268cbd0145eaa0a9fd58dec775d1a374a6c6be86a3fa76104a66cd31847,False
