domain,consumer,task,seed,metric,value,subjects
clare,linear,workload_classification,17,macro_f1,0.44649186784713835,4
clare,linear,workload_classification,29,macro_f1,0.44649186784713835,4
clare,linear,workload_classification,43,macro_f1,0.44649186784713835,4
clare,linear,workload_regression,17,rmse,3.820740220460955,4
clare,linear,workload_regression,29,rmse,3.820740220460955,4
clare,linear,workload_regression,43,rmse,3.820740220460955,4
clare,minirocket,workload_classification,17,macro_f1,0.4266380889181943,4
clare,minirocket,workload_classification,29,macro_f1,0.404212491930307,4
clare,minirocket,workload_classification,43,macro_f1,0.3874684880548229,4
clare,minirocket,workload_regression,17,rmse,2.8818877404598755,4
clare,minirocket,workload_regression,29,rmse,3.3014582584342267,4
clare,minirocket,workload_regression,43,rmse,3.009209686820219,4
cogpilot,linear,difficulty,17,macro_f1,0.3489327367911684,7
cogpilot,linear,difficulty,29,macro_f1,0.3489327367911684,7
cogpilot,linear,difficulty,43,macro_f1,0.3489327367911684,7
cogpilot,linear,event_response,17,rmse,0.3416971385306779,7
cogpilot,linear,event_response,29,rmse,0.3416971385306779,7
cogpilot,linear,event_response,43,rmse,0.3416971385306779,7
cogpilot,minirocket,difficulty,17,macro_f1,0.5187294967350704,7
cogpilot,minirocket,difficulty,29,macro_f1,0.509234878656992,7
cogpilot,minirocket,difficulty,43,macro_f1,0.5057267689316575,7
cogpilot,minirocket,event_response,17,rmse,0.33489505197180197,7
cogpilot,minirocket,event_response,29,rmse,0.3481400987337671,7
cogpilot,minirocket,event_response,43,rmse,0.35900532984135597,7
