name,sample_count,reference_point_count,mean_attention_entropy,mean_max_attention,mean_causal_option_count,mean_top_event_score,mean_top_contribution_score,mean_fused_l2_norm,mean_fused_cosine_to_projection_baseline,delta_mean_attention_entropy,delta_mean_max_attention,delta_mean_top_event_score,delta_mean_top_contribution_score,delta_fused_l2_norm,delta_fused_cosine_to_projection_baseline,view_id,sortie_id,pilot_id
projection_refusion_baseline,8,16,0.9297644421458244,0.23280493542551994,8.5,1.0,2.1242539286613464,1.9553584158420563,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,20251005_四01_ACT-4_云_J20_22#01,10033
no_event_bias,8,16,0.9326574206352234,0.2302882857620716,8.5,1.0,1.936861976981163,1.954349234700203,0.9999253749847412,0.0028929784893989563,-0.0025166496634483337,0.0,-0.1873919516801834,-0.0010091811418533325,-7.462501525878906e-05,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,20251005_四01_ACT-4_云_J20_22#01,10033
no_state_normalization,8,16,0.9274630695581436,0.23561464808881283,8.5,1.0,2.095527723431587,1.9534424096345901,0.9999673962593079,-0.0023013725876808167,0.002809712663292885,0.0,-0.028726205229759216,-0.0019160062074661255,-3.260374069213867e-05,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,20251005_四01_ACT-4_云_J20_22#01,10033
vehicle_delta_suppressed,8,16,0.9375,0.21129557490348816,8.5,0.0,0.0,2.395143002271652,0.8582878112792969,0.007735557854175568,-0.021509360522031784,-1.0,-2.1242539286613464,0.43978458642959595,-0.14171218872070312,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,20251005_四01_ACT-4_云_J20_22#01,10033
projection_refusion_baseline,8,16,0.9345391318202019,0.22814021818339825,8.5,1.0,2.646299809217453,1.992960810661316,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,20251002_单01_ACT-8_翼云_J16_12#01,10035
no_event_bias,8,16,0.9371623024344444,0.21721870824694633,8.5,1.0,2.3374328017234802,1.9896658807992935,0.9999240636825562,0.0026231706142425537,-0.010921509936451912,0.0,-0.3088670074939728,-0.0032949298620224,-7.593631744384766e-05,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,20251002_单01_ACT-8_翼云_J16_12#01,10035
no_state_normalization,8,16,0.93055010586977,0.2394594196230173,8.5,1.0,2.809703230857849,1.9958294034004211,0.9999324083328247,-0.003989025950431824,0.011319201439619064,0.0,0.16340342164039612,0.0028685927391052246,-6.759166717529297e-05,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,20251002_单01_ACT-8_翼云_J16_12#01,10035
vehicle_delta_suppressed,8,16,0.9375,0.21129557490348816,8.5,0.0,0.0,2.059053987264633,0.8962250351905823,0.0029608681797981262,-0.016844643279910088,-1.0,-2.646299809217453,0.06609317660331726,-0.10377496480941772,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,20251002_单01_ACT-8_翼云_J16_12#01,10035
projection_refusion_baseline,8,16,0.9277549982070923,0.23762932792305946,8.5,1.0,2.4288233816623688,1.5814619213342667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,20251002_单01_ACT-8_翼云_J16_12#01,10033
no_event_bias,8,16,0.9286687523126602,0.23713239654898643,8.5,1.0,2.104183852672577,1.5780372023582458,0.9999003410339355,0.0009137541055679321,-0.0004969313740730286,0.0,-0.32463952898979187,-0.003424718976020813,-9.965896606445312e-05,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,20251002_单01_ACT-8_翼云_J16_12#01,10033
no_state_normalization,8,16,0.9307131320238113,0.23242967389523983,8.5,1.0,2.5135832130908966,1.585092380642891,0.9999083280563354,0.002958133816719055,-0.0051996540278196335,0.0,0.08475983142852783,0.0036304593086242676,-9.167194366455078e-05,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,20251002_单01_ACT-8_翼云_J16_12#01,10033
vehicle_delta_suppressed,8,16,0.9375,0.21129557490348816,8.5,0.0,0.0,1.9949853718280792,0.7931786775588989,0.009745001792907715,-0.026333753019571304,-1.0,-2.4288233816623688,0.41352345049381256,-0.20682132244110107,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,20251002_单01_ACT-8_翼云_J16_12#01,10033
