sample_id,view_id,sortie_id,pilot_id,projection_diagnostics_verdict,embedding_norm,attention_entropy,top_event_concentration,event_mask_interference
20251005_四01_ACT-4_云_J20_22#01__pilot_10033::20251005_四01_ACT-4_云_J20_22#01:0029,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,20251005_四01_ACT-4_云_J20_22#01,10033,PASS,6.948095321655273,2.734111785888672,0.07964187860488892,0.1214340329170227
20251005_四01_ACT-4_云_J20_22#01__pilot_10033::20251005_四01_ACT-4_云_J20_22#01:0030,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,20251005_四01_ACT-4_云_J20_22#01,10033,PASS,6.948095321655273,2.734111785888672,0.07964187860488892,0.1214340329170227
20251005_四01_ACT-4_云_J20_22#01__pilot_10033::20251005_四01_ACT-4_云_J20_22#01:0031,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,20251005_四01_ACT-4_云_J20_22#01,10033,PASS,6.948095321655273,2.734111785888672,0.07964187860488892,0.1214340329170227
20251005_四01_ACT-4_云_J20_22#01__pilot_10033::20251005_四01_ACT-4_云_J20_22#01:0032,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,20251005_四01_ACT-4_云_J20_22#01,10033,PASS,6.948095321655273,2.734111785888672,0.07964187860488892,0.1214340329170227
20251005_四01_ACT-4_云_J20_22#01__pilot_10033::20251005_四01_ACT-4_云_J20_22#01:0033,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,20251005_四01_ACT-4_云_J20_22#01,10033,PASS,6.948095321655273,2.734111785888672,0.07964187860488892,0.1214340329170227
20251005_四01_ACT-4_云_J20_22#01__pilot_10033::20251005_四01_ACT-4_云_J20_22#01:0034,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,20251005_四01_ACT-4_云_J20_22#01,10033,PASS,6.948095321655273,2.734111785888672,0.07964187860488892,0.1214340329170227
20251005_四01_ACT-4_云_J20_22#01__pilot_10033::20251005_四01_ACT-4_云_J20_22#01:0035,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,20251005_四01_ACT-4_云_J20_22#01,10033,PASS,6.948095321655273,2.734111785888672,0.07964187860488892,0.1214340329170227
20251005_四01_ACT-4_云_J20_22#01__pilot_10033::20251005_四01_ACT-4_云_J20_22#01:0036,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,20251005_四01_ACT-4_云_J20_22#01,10033,PASS,6.9382643699646,2.7495312690734863,0.08320152759552002,0.13856089115142822
20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::20251002_单01_ACT-8_翼云_J16_12#01:0029,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,20251002_单01_ACT-8_翼云_J16_12#01,10035,PASS,7.064608097076416,2.7192935943603516,0.12396907806396484,0.04611337184906006
20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::20251002_单01_ACT-8_翼云_J16_12#01:0030,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,20251002_单01_ACT-8_翼云_J16_12#01,10035,PASS,7.064608097076416,2.7192935943603516,0.12396907806396484,0.04611337184906006
20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::20251002_单01_ACT-8_翼云_J16_12#01:0031,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,20251002_单01_ACT-8_翼云_J16_12#01,10035,PASS,7.064608097076416,2.7192935943603516,0.12396907806396484,0.04611337184906006
20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::20251002_单01_ACT-8_翼云_J16_12#01:0032,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,20251002_单01_ACT-8_翼云_J16_12#01,10035,PASS,7.064608097076416,2.7192935943603516,0.12396907806396484,0.04611337184906006
20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::20251002_单01_ACT-8_翼云_J16_12#01:0033,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,20251002_单01_ACT-8_翼云_J16_12#01,10035,PASS,7.064608097076416,2.7192935943603516,0.12396907806396484,0.04611337184906006
20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::20251002_单01_ACT-8_翼云_J16_12#01:0034,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,20251002_单01_ACT-8_翼云_J16_12#01,10035,PASS,7.064608097076416,2.7192935943603516,0.12396907806396484,0.04611337184906006
20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::20251002_单01_ACT-8_翼云_J16_12#01:0035,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,20251002_单01_ACT-8_翼云_J16_12#01,10035,PASS,7.064608097076416,2.7192935943603516,0.12396907806396484,0.04611337184906006
20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::20251002_单01_ACT-8_翼云_J16_12#01:0036,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,20251002_单01_ACT-8_翼云_J16_12#01,10035,PASS,7.468016147613525,2.77071475982666,0.06913124769926071,0.14271390438079834
20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033::20251002_单01_ACT-8_翼云_J16_12#01:0029,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,20251002_单01_ACT-8_翼云_J16_12#01,10033,WARN,7.002054691314697,2.7473232746124268,0.10901987552642822,0.1449158787727356
