task,variant,metric,value
T1_maneuver_intensity_class,chronaris_opt,sample_count,111
T1_maneuver_intensity_class,chronaris_opt,fold_count,3
T1_maneuver_intensity_class,chronaris_opt,macro_f1,1.0
T1_maneuver_intensity_class,chronaris_opt,balanced_accuracy,1.0
T1_maneuver_intensity_class,chronaris_opt_no_causal_mask,sample_count,111
T1_maneuver_intensity_class,chronaris_opt_no_causal_mask,fold_count,3
T1_maneuver_intensity_class,chronaris_opt_no_causal_mask,macro_f1,0.17333333333333334
T1_maneuver_intensity_class,chronaris_opt_no_causal_mask,balanced_accuracy,0.3333333333333333
T2_next_window_physiology_response,chronaris_opt,sample_count,108
T2_next_window_physiology_response,chronaris_opt,fold_count,3
T2_next_window_physiology_response,chronaris_opt,mae,113.85192590448891
T2_next_window_physiology_response,chronaris_opt,rmse,201.4895651832178
T2_next_window_physiology_response,chronaris_opt,r2,0.5011313889121192
T2_next_window_physiology_response,chronaris_opt,spearman,0.3491791250988575
T2_next_window_physiology_response,chronaris_opt_no_causal_mask,sample_count,108
T2_next_window_physiology_response,chronaris_opt_no_causal_mask,fold_count,3
T2_next_window_physiology_response,chronaris_opt_no_causal_mask,mae,173.6487185096497
T2_next_window_physiology_response,chronaris_opt_no_causal_mask,rmse,313.23247677481385
T2_next_window_physiology_response,chronaris_opt_no_causal_mask,r2,-0.20563161717852063
T2_next_window_physiology_response,chronaris_opt_no_causal_mask,spearman,-0.43098417952969936
T3_paired_pilot_window_retrieval,chronaris_opt,sample_count,74
T3_paired_pilot_window_retrieval,chronaris_opt,top1_accuracy,1.0
T3_paired_pilot_window_retrieval,chronaris_opt,mrr,1.0
T3_paired_pilot_window_retrieval,chronaris_opt_no_causal_mask,sample_count,74
T3_paired_pilot_window_retrieval,chronaris_opt_no_causal_mask,top1_accuracy,0.02702702702702703
T3_paired_pilot_window_retrieval,chronaris_opt_no_causal_mask,mrr,0.1135563844276126
