candidate_id,model_family,feature_profile,learning_rate,weight_decay,dropout,hidden_dims,screen_mean_rmse,screen_mean_mae,n_back_rmse,n_back_mae,heat_the_chair_rmse,heat_the_chair_mae
residual_gated_mlp__full__lr0p0003__wd0p0001,residual_gated_mlp,full,0.0003,0.0001,0.1,"[128, 64]",4.027315077270597,3.4781669297973714,5.817936721937045,4.996224943380849,2.2366934326041488,1.9601089162138936
residual_gated_mlp__full__lr0p0003__wd0p001,residual_gated_mlp,full,0.0003,0.001,0.1,"[128, 64]",4.027350283434273,3.4782553122012345,5.81792734143264,4.996313875979864,2.2367732254359054,1.9601967484226048
mlp_huber_small__full__lr0p0003__wd0p0001,mlp_huber_small,full,0.0003,0.0001,0.1,"[128, 64]",4.089900148310898,3.5322044931795693,5.930735531254324,5.090312251663465,2.2490647653674705,1.9740967346956737
mlp_huber_small__full__lr0p0003__wd0p001,mlp_huber_small,full,0.0003,0.001,0.1,"[128, 64]",4.089921113760527,3.5323018973787677,5.9307140899668305,5.090438683257641,2.249128137554224,1.974165111499894
mlp_huber_wide__full__lr0p0003__wd0p0001,mlp_huber_wide,full,0.0003,0.0001,0.2,"[256, 128]",4.116568744851909,3.569142514185888,5.954013919922189,5.1294446856976394,2.2791235697816297,2.008840342674136
mlp_huber_wide__full__lr0p0003__wd0p001,mlp_huber_wide,full,0.0003,0.001,0.2,"[256, 128]",4.116582700072894,3.569168772267391,5.954017891710811,5.129469407785035,2.2791475084349773,2.008868136749746
mlp_huber_small__full__lr0p001__wd0p0001,mlp_huber_small,full,0.001,0.0001,0.1,"[128, 64]",4.117097849386259,3.569719015270276,6.024969210948103,5.2117382232449465,2.2092264878244157,1.9276998072956049
mlp_huber_small__full__lr0p001__wd0p001,mlp_huber_small,full,0.001,0.001,0.1,"[128, 64]",4.117249374477021,3.569946071940106,6.025210271517938,5.212110905055242,2.209288477436104,1.92778123882497
mlp_huber_wide__full__lr0p001__wd0p0001,mlp_huber_wide,full,0.001,0.0001,0.2,"[256, 128]",4.11992544602289,3.523197119364366,6.061203154302988,5.1826081930683126,2.178647737742793,1.8637860456604196
mlp_huber_wide__full__lr0p001__wd0p001,mlp_huber_wide,full,0.001,0.001,0.2,"[256, 128]",4.1199473261784805,3.5232412647102587,6.061343915418157,5.182796510443845,2.1785507369388037,1.863686018976672
residual_gated_mlp__full__lr0p001__wd0p0001,residual_gated_mlp,full,0.001,0.0001,0.1,"[128, 64]",4.129704981057005,3.6039081726841555,5.923815573853637,5.137500127832221,2.335594388260373,2.070316217536089
residual_gated_mlp__full__lr0p001__wd0p001,residual_gated_mlp,full,0.001,0.001,0.1,"[128, 64]",4.129883250778305,3.6042195201716973,5.924082885582193,5.13803580152072,2.335683615974417,2.070403238822674
mlp_huber_small__residual_only__lr0p0003__wd0p0001,mlp_huber_small,residual_only,0.0003,0.0001,0.1,"[128, 64]",4.173412818973446,3.623924618259444,6.13149597816866,5.31188365663994,2.2153296597782335,1.9359655798789477
mlp_huber_small__residual_only__lr0p0003__wd0p001,mlp_huber_small,residual_only,0.0003,0.001,0.1,"[128, 64]",4.173464407690195,3.624004154582344,6.13153591866281,5.3119690175855405,2.21539289671758,1.9360392915791478
residual_gated_mlp__residual_only__lr0p0003__wd0p001,residual_gated_mlp,residual_only,0.0003,0.001,0.1,"[128, 64]",4.1781152206026535,3.6223199063805493,6.163367369708222,5.334475082832577,2.192863071497085,1.9101647299285218
residual_gated_mlp__residual_only__lr0p001__wd0p0001,residual_gated_mlp,residual_only,0.001,0.0001,0.1,"[128, 64]",4.180119811650172,3.6054644031597687,6.180161090475165,5.316414485533441,2.1800785328251804,1.8945143207860964
residual_gated_mlp__residual_only__lr0p001__wd0p001,residual_gated_mlp,residual_only,0.001,0.001,0.1,"[128, 64]",4.180130927817496,3.6055599527314834,6.180123157830186,5.316525025355912,2.180138697804805,1.8945948801070545
residual_gated_mlp__residual_only__lr0p0003__wd0p0001,residual_gated_mlp,residual_only,0.0003,0.0001,0.1,"[128, 64]",4.204390174078455,3.6520789605926414,6.163371007780116,5.334355940685346,2.2454093403767943,1.9698019804999372
mlp_huber_wide__residual_only__lr0p0003__wd0p001,mlp_huber_wide,residual_only,0.0003,0.001,0.2,"[256, 128]",4.230971047269904,3.6866791959180802,6.098713279272388,5.271329050320832,2.3632288152674192,2.102029341515329
mlp_huber_wide__residual_only__lr0p0003__wd0p0001,mlp_huber_wide,residual_only,0.0003,0.0001,0.2,"[256, 128]",4.2309865486371345,3.6866552446096894,6.098752031643339,5.271287503539776,2.36322106563093,2.1020229856796027
mlp_huber_small__residual_only__lr0p001__wd0p0001,mlp_huber_small,residual_only,0.001,0.0001,0.1,"[128, 64]",4.239928377174065,3.689812159504566,6.137575791843464,5.3016495257035405,2.342280962504667,2.077974793305591
mlp_huber_small__residual_only__lr0p001__wd0p001,mlp_huber_small,residual_only,0.001,0.001,0.1,"[128, 64]",4.240008971061146,3.6898963296528997,6.137661663052724,5.30174790098445,2.3423562790695676,2.0780447583213495
mlp_huber_wide__residual_only__lr0p001__wd0p0001,mlp_huber_wide,residual_only,0.001,0.0001,0.2,"[256, 128]",4.281787976022477,3.7539412742526475,6.074433266122757,5.265059251925474,2.4891426859221957,2.242823296579821
mlp_huber_wide__residual_only__lr0p001__wd0p001,mlp_huber_wide,residual_only,0.001,0.001,0.2,"[256, 128]",4.2817992874034685,3.753966737953222,6.074468673362568,5.265127379844428,2.489129901444369,2.2428060960620173
