candidate_id,model_family,feature_profile,learning_rate,weight_decay,dropout,hidden_dims,screen_mean_rmse,screen_mean_mae,n_back_rmse,n_back_mae,heat_the_chair_rmse,heat_the_chair_mae
mlp_huber_wide__physiology_scalar_only__lr0p001__wd0p0001,mlp_huber_wide,physiology_scalar_only,0.001,0.0001,0.2,"[256, 128]",4.702709134703967,4.357612961222031,7.49094283652009,7.1834946995798346,1.9144754328878428,1.5317312228642286
mlp_huber_wide__physiology_scalar_only__lr0p001__wd0p001,mlp_huber_wide,physiology_scalar_only,0.001,0.001,0.2,"[256, 128]",4.702775287616467,4.357639845963189,7.491041846473332,7.183550600628882,1.9145087287596012,1.5317290912974963
mlp_huber_wide__physiology_only__lr0p001__wd0p0001,mlp_huber_wide,physiology_only,0.001,0.0001,0.2,"[256, 128]",4.770963722481622,4.4117233654543355,7.560882083834654,7.238776124456948,1.9810453611285903,1.584670606451722
mlp_huber_wide__physiology_only__lr0p001__wd0p001,mlp_huber_wide,physiology_only,0.001,0.001,0.2,"[256, 128]",4.771033258998288,4.411751165431457,7.560978619456536,7.23882946877711,1.9810878985400389,1.5846728620858026
mlp_huber_wide__full__lr0p001__wd0p0001,mlp_huber_wide,full,0.001,0.0001,0.2,"[256, 128]",4.932652809412975,4.554092476739071,7.697159054938313,7.324448610931435,2.168146563887637,1.783736342546708
mlp_huber_wide__full__lr0p001__wd0p001,mlp_huber_wide,full,0.001,0.001,0.2,"[256, 128]",4.93271926940518,4.554114847153194,7.69725212646429,7.324498565577887,2.1681864123460683,1.7837311287285018
residual_gated_mlp__full__lr0p001__wd0p0001,residual_gated_mlp,full,0.001,0.0001,0.1,"[128, 64]",5.626288925367251,4.935751088296432,8.439212371822551,7.670288132894897,2.8133654789119507,2.2012140436979672
residual_gated_mlp__full__lr0p001__wd0p001,residual_gated_mlp,full,0.001,0.001,0.1,"[128, 64]",5.62637046974702,4.935799917285522,8.439294600300565,7.670326762468816,2.8134463391934736,2.201273072102227
mlp_huber_small__full__lr0p001__wd0p0001,mlp_huber_small,full,0.001,0.0001,0.1,"[128, 64]",5.65540118188388,4.95263966641783,8.540612680781587,7.744489431275657,2.7701896829861727,2.160789901560003
mlp_huber_small__full__lr0p001__wd0p001,mlp_huber_small,full,0.001,0.001,0.1,"[128, 64]",5.655482200949909,4.952686343365989,8.540690638045763,7.744524840488529,2.7702737638540555,2.1608478462434486
mlp_huber_wide__physiology_scalar_only__lr0p0003__wd0p0001,mlp_huber_wide,physiology_scalar_only,0.0003,0.0001,0.2,"[256, 128]",5.669020981903181,4.918119742982461,8.783183984643063,7.886524452370953,2.5548579791632973,1.9497150335939701
